window,start_ms,end_ms,n_timepoints,n_observations,pc1_explained,pc2_explained,pc3_explained,pc4_explained,pc1_pc2_cumulative,participation_ratio,interpretation_guardrail
early_pre_response,-600.0,-300.0,77,3003,0.5402249667205019,0.24037679478730173,0.12581118330825636,0.022978101772136234,0.7806017615078036,2.726252365452337,
mid_pre_response,-300.0,-120.0,46,1794,0.5327636535572597,0.2363713826343025,0.13376598701747275,0.02703373905934099,0.7691350361915622,2.784403523435366,
late_pre_response,-120.0,-50.0,18,702,0.5668259953759115,0.24232432738430937,0.09867229268495477,0.029863681958142443,0.8091503227602208,2.555867501094033,
peri_response_contaminated,-50.0,100.0,38,1482,0.5666250804725349,0.23813383544322403,0.10357040997784601,0.023157943876791955,0.8047589159157589,2.5652254445801925,The -50 to 100 ms window is response/motor contaminated and is not interpreted as pure evidence accumulation.
