rank,epoch,train_total_loss,val_total_loss
2,1,2.3592750685555592,2.2485639254252114
2,2,2.4343578900609697,2.171258727709452
2,3,2.1527184077671597,2.094654361406962
2,4,2.137681254318782,2.0185950994491577
2,5,2.0445471491132463,1.9422047138214111
2,6,1.9726946353912354,1.867190957069397
2,7,1.8944161364010401,1.7929484844207764
2,8,1.870151332446507,1.7191093762715657
2,9,1.7416780931609017,1.6461921135584514
2,10,1.6686649492808752,1.5752025445302327
2,11,1.6004908170018877,1.5016903479894002
2,12,1.5232998515878404,1.4348169565200806
