rank,metric_group,feature,r2,rmse,corr
2,all_channels_test,full_signal,0.18027806282043457,0.9788584460789118,0.43800273537635803
2,cpp_test,average_waveform,0.48791807889938354,0.08452185537608331,0.9023783206939697
2,cpp_feature_test,amp_minus600_to_minus50,0.31358957290649414,0.6309240680037579,0.7234069108963013
2,cpp_feature_test,slope_minus600_to_minus50,0.4987217219454879,0.0012181509207229455,0.880001005178381
2,cpp_feature_test,amp_minus300_to_minus120,0.3138185143470764,0.7415907619152976,0.7185326814651489
2,cpp_feature_test,slope_minus300_to_minus120,0.537984087087096,0.00359358839746675,0.7899019704625876
2,cpp_feature_test,amp_minus120_to_minus50,0.45453840494155884,0.5629575775587885,0.7875207662582397
2,cpp_feature_test,slope_minus120_to_minus50,0.5933581480095659,0.010665503159858595,0.8314171736241365
