rank,epoch,train_total_loss,val_total_loss
5,1,2.131893106869289,1.9611734946568806
5,2,1.9267898968287878,1.8065626621246338
5,3,1.761462688446045,1.6574041843414307
5,4,1.6714665974889482,1.5316150585810344
5,5,1.524523070880345,1.4158077637354534
5,6,1.4334367854254586,1.3085927963256836
5,7,1.4699334374495916,1.2066560586293538
5,8,1.2304845878056117,1.1093469262123108
5,9,1.1598155541079385,1.0195522705713909
5,10,1.0579390142645155,0.9338207840919495
5,11,0.9615729259593147,0.8577000300089518
5,12,0.9120939501694271,0.7882241209348043
