epoch,train_cpp_mean_alignment_loss,train_cpp_mean_loss,train_derivative_loss,train_future_loss,train_late_amplitude_loss,train_monotonic_loss,train_recon_loss,train_slope_floor_loss,train_smooth_loss,train_total_loss,train_variance_loss,val_cpp_mean_alignment_loss,val_cpp_mean_loss,val_derivative_loss,val_future_loss,val_late_amplitude_loss,val_monotonic_loss,val_recon_loss,val_slope_floor_loss,val_smooth_loss,val_total_loss,val_variance_loss
1,0.0,0.6887015648186207,0.0386235459940508,1.061129194498062,0.0,0.0,0.8262582071125507,0.0,0.00011708359320437012,1.780025590956211,0.7557577475905418,0.0,0.48561891913414,0.03787594640420543,0.9244785838656955,0.0,0.0,0.6054935488435957,0.0,0.00015217796640677584,1.3839731216430664,0.6636725962162018
2,0.0,0.40148025564849377,0.03552852503489703,0.9307840682566166,0.0,0.0,0.520092074200511,0.0,0.00014665257986052894,1.207941722869873,0.5663766290992498,0.0,0.27624715781874126,0.03257038899593883,0.8746696809927622,0.0,0.0,0.39514871107207405,0.0,0.00013584672261559818,0.9354371494717069,0.4218912008735869
3,0.0,0.24028599429875613,0.02911063318606466,0.9076841615140439,0.0,0.0,0.35519661419093607,0.0,0.00015463778199773515,0.8374062478542328,0.3319486744701862,0.0,0.16717177091373336,0.03084309481912189,0.8689078787962595,0.0,0.0,0.28125567651457256,0.0,0.00023008477405205162,0.6349202940861384,0.16175077358881632
4,0.0,0.16993966484442352,0.026763189979828895,0.9000533543527126,0.0,0.0,0.2765740154311061,0.0,0.00021787085261166795,0.6225532669574022,0.1352338619530201,0.0,0.1300415483613809,0.02501009466747443,0.8541650573412577,0.0,0.0,0.2327191862795088,0.0,0.00021248946480530625,0.511973523431354,0.06179057889514499
5,0.0,0.14337683874182403,0.02320838493760675,0.8879507392644882,0.0,0.0,0.24172467524185776,0.0,0.00021635366101691034,0.5398015215992927,0.07438771948218345,0.0,0.11844801157712936,0.023325420191718474,0.8462104731135898,0.0,0.0,0.21422646525833342,0.0,0.0002193278649226866,0.47945435179604423,0.050197700659434
6,0.0,0.12626784332096577,0.020276788529008626,0.8811197787523269,0.0,0.0,0.21860651867464184,0.0,0.00022529612560902025,0.5056910041719676,0.07517595589160919,0.0,0.12207166353861491,0.022455874261342816,0.843167417579227,0.0,0.0,0.21352377616696888,0.0,0.0002298306733589723,0.4999907745255364,0.0911390417151981
7,0.0,0.11644505732692778,0.018503450276330113,0.8778041623532772,0.0,0.0,0.2041564540937543,0.0,0.0002385655881880666,0.49176447540521623,0.08914538770914078,0.0,0.10504439762896961,0.020133377828945715,0.8407080968221029,0.0,0.0,0.19224289390775892,0.0,0.0002462819902575575,0.46463582416375476,0.08332434296607971
8,0.0,0.10614192164503038,0.01715973832178861,0.8747718244791031,0.0,0.0,0.19002616964280605,0.0,0.0002502875850041164,0.4620425544679165,0.07082186117768288,0.0,0.0731023804595073,0.015333510728345977,0.8393850723902384,0.0,0.0,0.1548197956548797,0.0,0.0002483628066127292,0.3991425136725108,0.06445502572589451
9,0.0,0.09978298316709697,0.01571076693944633,0.8732995107769966,0.0,0.0,0.18078064899891616,0.0,0.0002634327518535429,0.45509201418608425,0.0838086299598217,0.0,0.07460328377783298,0.015488557000127103,0.8382161888811324,0.0,0.0,0.15444718301296234,0.0,0.0002696113798366342,0.3865995340877109,0.03892581661542257
10,0.0,0.09232135328929872,0.014958118938375264,0.8728247672319412,0.0,0.0,0.17035799771547316,0.0,0.0002762888174402178,0.435477695427835,0.07382944747805595,0.0,0.08157879031366772,0.016042191638714738,0.8369425535202026,0.0,0.0,0.15966343300210106,0.0,0.00027891736923872185,0.4153867264588674,0.07904801766077678
