window,target,baseline_r2,hidden_r2,baseline_plus_hidden_r2,baseline_plus_shuffled_hidden_r2,hidden_minus_baseline_r2,incremental_minus_baseline_r2,incremental_minus_shuffled_r2
early_pre_response,RT_ms,0.20161744232563256,0.14105166105081215,0.2885432613490086,0.19984045735492334,-0.0605657812748204,0.08692581902337604,0.08870280399408526
early_pre_response,log_RT_ms,0.20032554640654415,0.15496759026383028,0.30159980542244247,0.19841071905970994,-0.04535795614271387,0.10127425901589832,0.10318908636273252
full_pre_response,RT_ms,0.20161744232563256,0.13540336911082645,0.2850182653438704,0.1980333466817026,-0.0662140732148061,0.08340082301823787,0.08698491866216781
full_pre_response,log_RT_ms,0.20032554640654415,0.1374590818133805,0.2843978790001843,0.19679779612596218,-0.06286646459316364,0.08407233259364016,0.08760008287422213
late_pre_response,RT_ms,0.20161744232563256,0.0489002651407124,0.22487724256841474,-0.005732261089791413,-0.15271717718492017,0.02325980024278218,0.23060950365820615
late_pre_response,log_RT_ms,0.20032554640654415,0.04823213081770443,0.20028923863018075,-0.040071052687730944,-0.1520934155888397,-3.630777636340343e-05,0.2403602913179117
mid_pre_response,RT_ms,0.20161744232563256,0.05985399527233108,0.2281160779910298,0.18813727939509836,-0.14176344705330146,0.02649863566539723,0.039978798595931425
mid_pre_response,log_RT_ms,0.20032554640654415,0.05495489190445324,0.2169649024709412,0.19290240983190027,-0.1453706545020909,0.016639356064397037,0.024062492639040922
