window,target,model,feature,mean_coefficient,std_coefficient,abs_mean_coefficient,sign_consistency
early_pre_response,RT_ms,baseline_plus_hidden,hidden_00,-138.96315685095837,40.54941924534043,138.96315685095837,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_01,-9.147653770806574,13.80850257133912,9.147653770806574,0.8
early_pre_response,RT_ms,baseline_plus_hidden,hidden_02,117.94651085832159,74.08644596398749,117.94651085832159,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_03,99.65450544195475,43.991273549481484,99.65450544195475,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_04,127.68717821457786,99.09699361820927,127.68717821457786,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_05,-4.467722642396977,6.196251791552603,4.467722642396977,0.6
early_pre_response,RT_ms,baseline_plus_hidden,hidden_06,13.406989780333271,28.125993520765196,13.406989780333271,0.6
early_pre_response,RT_ms,baseline_plus_hidden,hidden_07,88.80488754611324,22.829573514515637,88.80488754611324,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_08,53.6110829224559,4.036812125599489,53.6110829224559,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_09,-43.83070426003725,63.15105768800941,43.83070426003725,0.6
early_pre_response,RT_ms,baseline_plus_hidden,hidden_10,71.18891380569143,29.789727257083698,71.18891380569143,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_11,26.45402214938798,41.744702570766094,26.45402214938798,0.6
early_pre_response,RT_ms,baseline_plus_hidden,hidden_12,10.536569973965012,1.7936696143689221,10.536569973965012,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_13,-174.6216610783951,60.16276135837783,174.6216610783951,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_14,-4.545929715670898,19.215443651035788,4.545929715670898,0.6
early_pre_response,RT_ms,baseline_plus_hidden,hidden_15,-1.538713743072785,2.824234735475934,1.538713743072785,0.6
early_pre_response,RT_ms,baseline_plus_hidden,hidden_16,-19.402885612662466,7.360353406068061,19.402885612662466,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_17,19.534098975598468,18.989214501311498,19.534098975598468,0.8
early_pre_response,RT_ms,baseline_plus_hidden,hidden_18,110.05534656964517,32.43059477341496,110.05534656964517,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_19,27.377832656173364,4.720063871751817,27.377832656173364,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_20,62.51320528475359,14.283274608822195,62.51320528475359,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_21,23.39501159959675,19.405798164941,23.39501159959675,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_22,-4.9931174291354,11.402762692087403,4.9931174291354,0.6
early_pre_response,RT_ms,baseline_plus_hidden,hidden_23,5.490966209589702,5.574967152124583,5.490966209589702,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_24,-8.927365362971281,8.018431212953105,8.927365362971281,0.8
early_pre_response,RT_ms,baseline_plus_hidden,hidden_25,28.247647555510316,17.516009494818658,28.247647555510316,0.8
early_pre_response,RT_ms,baseline_plus_hidden,hidden_26,77.8706915548619,45.28673832140007,77.8706915548619,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_27,-13.539923801207285,28.843739635675057,13.539923801207285,0.6
early_pre_response,RT_ms,baseline_plus_hidden,hidden_28,15.103401169608933,9.358958066053672,15.103401169608933,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_29,41.16828967491334,25.968383256010313,41.16828967491334,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_30,-131.3301578153891,20.16282811429822,131.3301578153891,1.0
early_pre_response,RT_ms,baseline_plus_hidden,hidden_31,-24.79545604045338,5.564940752104658,24.79545604045338,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_00,4.07205269506043,2.21792487310422,4.07205269506043,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_01,-4.413038345890987,5.482693642146676,4.413038345890987,0.6
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_02,-3.8168088337661317,2.422769044479084,3.8168088337661317,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_03,1.5594107554530214,2.373505855230866,1.5594107554530214,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_04,-0.15496370595379022,3.568078150875086,0.15496370595379022,0.6
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_05,-7.677458176613959,2.5347179241562827,7.677458176613959,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_06,2.1837408227459623,1.7673951868965077,2.1837408227459623,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_07,-12.522362154754884,4.730701811046345,12.522362154754884,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_08,2.1225359197291525,3.5488785679255463,2.1225359197291525,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_09,-1.8380767107930995,0.788085899398947,1.8380767107930995,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_10,6.422465755500816,7.458781904618597,6.422465755500816,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_11,-4.086011732614365,3.6664452128878224,4.086011732614365,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_12,-0.15423215534959323,1.5756832937226057,0.15423215534959323,0.6
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_13,10.222158030642415,7.537035707322486,10.222158030642415,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_14,-3.2101894070364905,3.2951485163600744,3.2101894070364905,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_15,-0.29385964633419875,2.759174996669972,0.29385964633419875,0.6
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_16,2.0939308966158845,1.5723161073630627,2.0939308966158845,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_17,-7.408826983733505,4.671822389463639,7.408826983733505,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_18,1.3707957006283473,2.4825045855137193,1.3707957006283473,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_19,-1.5876138834170237,3.4033764576615746,1.5876138834170237,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_20,5.212210772538141,2.999850660981236,5.212210772538141,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_21,8.986912816491962,3.665616352752037,8.986912816491962,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_22,2.5124025334935327,2.7105935568874515,2.5124025334935327,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_23,0.7503680289059569,1.189213855889106,0.7503680289059569,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_24,-7.227044280702394,3.936747025591206,7.227044280702394,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_25,5.736177627128727,4.266014668538699,5.736177627128727,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_26,-1.179706218498751,2.786686221078762,1.179706218498751,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_27,-7.958566554724824,5.7594466666711055,7.958566554724824,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_28,1.3870366914854453,2.56277596015744,1.3870366914854453,0.8
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_29,1.922097467548785,1.2709887141093852,1.922097467548785,1.0
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_30,2.684530975676714,6.5056485269829105,2.684530975676714,0.6
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,shuffled_hidden_31,2.0060421047584405,0.7631204213500995,2.0060421047584405,1.0
early_pre_response,RT_ms,hidden,hidden_00,-188.74567718505858,64.0547927410708,188.74567718505858,1.0
early_pre_response,RT_ms,hidden,hidden_01,54.70879364013672,11.891690346019514,54.70879364013672,1.0
early_pre_response,RT_ms,hidden,hidden_02,119.76849365234375,82.29470210384405,119.76849365234375,1.0
early_pre_response,RT_ms,hidden,hidden_03,155.99457244873048,66.81638248377733,155.99457244873048,1.0
early_pre_response,RT_ms,hidden,hidden_04,175.88812713623048,103.82736233552987,175.88812713623048,1.0
early_pre_response,RT_ms,hidden,hidden_05,-6.489339303970337,7.700835369616245,6.489339303970337,0.8
early_pre_response,RT_ms,hidden,hidden_06,-47.340460205078124,8.182766013889875,47.340460205078124,1.0
early_pre_response,RT_ms,hidden,hidden_07,77.69589538574219,8.046434372269703,77.69589538574219,1.0
early_pre_response,RT_ms,hidden,hidden_08,75.79525909423828,6.177369042380183,75.79525909423828,1.0
early_pre_response,RT_ms,hidden,hidden_09,25.921287250518798,54.92346277116068,25.921287250518798,0.6
early_pre_response,RT_ms,hidden,hidden_10,130.08244781494142,46.36505542307239,130.08244781494142,1.0
early_pre_response,RT_ms,hidden,hidden_11,19.718235778808594,44.10497622339572,19.718235778808594,0.6
early_pre_response,RT_ms,hidden,hidden_12,17.345699501037597,1.579697207805168,17.345699501037597,1.0
early_pre_response,RT_ms,hidden,hidden_13,-195.68610534667968,47.56724483130674,195.68610534667968,1.0
