window,target,model,n_trials,n_features,mean_cv_r2,std_cv_r2,pooled_cv_r2,mean_cv_rmse,mean_cv_mae,mean_alpha
full_pre_response,log_RT_ms,baseline,7297,43,0.20032554640654415,0.016470682016199674,0.20094037115239594,0.25844964840437423,0.21164453834112723,51.70683256076518
full_pre_response,log_RT_ms,hidden,7297,32,0.1374590818133805,0.03168605821167999,0.1382334919808269,0.26837634866561727,0.21515955223992322,95.96029443897801
full_pre_response,log_RT_ms,baseline_plus_hidden,7297,75,0.2843978790001843,0.04063491537894883,0.2851784109459077,0.24438057923133,0.19505181862961468,95.78638232494046
full_pre_response,log_RT_ms,baseline_plus_shuffled_hidden,7297,75,0.19679779612596218,0.017067030281469643,0.19741351297046794,0.25901834655010536,0.21225671792860154,265.186551874806
full_pre_response,RT_ms,baseline,7297,43,0.20161744232563256,0.0200298892429698,0.2023724348734628,228.5705051175461,179.70417946766366,65.96411851515249
full_pre_response,RT_ms,hidden,7297,32,0.13540336911082645,0.02781466198059266,0.1360898379212846,237.8565308593533,183.60169601521807,95.96029443897801
full_pre_response,RT_ms,baseline_plus_hidden,7297,75,0.2850182653438704,0.03722375851866083,0.28593984581929,216.2281687835278,167.0318496394876,104.06442164959837
full_pre_response,RT_ms,baseline_plus_shuffled_hidden,7297,75,0.1980333466817026,0.02097265999922279,0.1987766096040301,229.08250000336633,180.19365780676554,265.186551874806
early_pre_response,log_RT_ms,baseline,7297,43,0.20032554640654415,0.016470682016199674,0.20094037115239594,0.25844964840437423,0.21164453834112723,51.70683256076518
early_pre_response,log_RT_ms,hidden,7297,32,0.15496759026383028,0.025746202110068495,0.15574701898156795,0.26565127813773326,0.21370730373543317,6.740618091946153
early_pre_response,log_RT_ms,baseline_plus_hidden,7297,75,0.30159980542244247,0.03398064734463364,0.30239512706299476,0.24145021318004237,0.19308148302712444,6.832788094742396
early_pre_response,log_RT_ms,baseline_plus_shuffled_hidden,7297,75,0.19841071905970994,0.01568090289148573,0.19899325582018645,0.2587630010494401,0.21213653077648703,208.2923419407563
early_pre_response,RT_ms,baseline,7297,43,0.20161744232563256,0.0200298892429698,0.2023724348734628,228.5705051175461,179.70417946766366,65.96411851515249
early_pre_response,RT_ms,hidden,7297,32,0.14105166105081215,0.024811954611126872,0.1420797257050841,237.0606860585986,183.3715662478491,6.740618091946153
early_pre_response,RT_ms,baseline_plus_hidden,7297,75,0.2885432613490086,0.03594620595851607,0.28967049662905175,215.68360258148346,166.24552463392087,9.141657474806161
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,7297,75,0.19984045735492334,0.01937505333200903,0.20053257046030548,228.8306404331085,180.16259877955054,231.38103574139396
mid_pre_response,log_RT_ms,baseline,7297,43,0.20032554640654415,0.016470682016199674,0.20094037115239594,0.25844964840437423,0.21164453834112723,51.70683256076518
mid_pre_response,log_RT_ms,hidden,7297,32,0.05495489190445324,0.02123274274361549,0.055637266613530856,0.2809610585943555,0.22998679510351155,34.1584023817404
mid_pre_response,log_RT_ms,baseline_plus_hidden,7297,75,0.2169649024709412,0.02790451103862664,0.21742305592160593,0.2557320013664503,0.2073015685560368,936.4832716360634
mid_pre_response,log_RT_ms,baseline_plus_shuffled_hidden,7297,75,0.19290240983190027,0.016453025007473577,0.19357277069388634,0.25964244491561306,0.2123875517147662,287.1059053679978
mid_pre_response,RT_ms,baseline,7297,43,0.20161744232563256,0.0200298892429698,0.2023724348734628,228.5705051175461,179.70417946766366,65.96411851515249
mid_pre_response,RT_ms,hidden,7297,32,0.05985399527233108,0.016688797773381232,0.06041618359031442,248.06564381299003,194.91813855301154,39.132710668902185
mid_pre_response,RT_ms,baseline_plus_hidden,7297,75,0.2281160779910298,0.030813774883443872,0.22882143773327035,224.72133073915606,175.9253672290528,937.5549538693409
mid_pre_response,RT_ms,baseline_plus_shuffled_hidden,7297,75,0.18813727939509836,0.024843058057973343,0.18923326790829054,230.45964427432395,180.48645281532458,336.84898823961566
late_pre_response,log_RT_ms,baseline,7297,43,0.20032554640654415,0.016470682016199674,0.20094037115239594,0.25844964840437423,0.21164453834112723,51.70683256076518
late_pre_response,log_RT_ms,hidden,7297,32,0.04823213081770443,0.009431645394872968,0.04885986753843152,0.28197700298764794,0.2312419713188929,52.158402381740395
late_pre_response,log_RT_ms,baseline_plus_hidden,7297,75,0.20028923863018075,0.07070330921703946,0.2013063787684516,0.2581990098847456,0.21104830902390886,9331.027200227221
late_pre_response,log_RT_ms,baseline_plus_shuffled_hidden,7297,75,-0.040071052687730944,0.4676725433794022,-0.035358747698948756,0.2886051040065195,0.2153290212847249,357.9204704728931
late_pre_response,RT_ms,baseline,7297,43,0.20161744232563256,0.0200298892429698,0.2023724348734628,228.5705051175461,179.70417946766366,65.96411851515249
late_pre_response,RT_ms,hidden,7297,32,0.0489002651407124,0.008298607444659005,0.04950768565010344,249.51123288970143,196.46846048177503,57.13271066890218
late_pre_response,RT_ms,baseline_plus_hidden,7297,75,0.22487724256841474,0.028418037052852736,0.22584174525532585,225.17973826418876,175.93168919840804,47.85881617934386
late_pre_response,RT_ms,baseline_plus_shuffled_hidden,7297,75,-0.005732261089791413,0.4013489617891884,0.002847698583050229,251.99065304326695,182.57973666005583,375.9204704728931
