latent,z1_mean,z2_mean,z3_mean,z4_mean,z5_mean,CPP amplitude,CPP slope,Late CPP amplitude,RT,condition,difficulty,evidence_strength,correctness
z1_mean,1.0,0.03719488199038573,0.3708262848086295,-0.5522462470601684,0.19745472524442678,-0.3049751483177338,0.05532695909042689,-0.2647133897491388,0.09484220991808733,-0.013401103084696235,0.010241517001782394,0.010241517001782394,-0.0007808329188109379
z2_mean,0.03719488199038573,1.0,0.3876208729642251,0.42401526328183303,0.752627836221942,-0.7400458197914227,0.1467616218445827,-0.5218139715383407,-0.01435124138961263,-0.005275319625030221,-0.025402889380642314,-0.025402889380642314,-0.002799786783024479
z3_mean,0.3708262848086295,0.3876208729642251,1.0,0.3410076034334069,0.46755036305152153,-0.7193523061214938,0.15730040337112214,-0.4997809995516946,-0.027760060614684792,-0.013568501438499013,-0.026858266008831986,-0.026858266008831986,0.008329117555752002
z4_mean,-0.5522462470601684,0.42401526328183303,0.3410076034334069,1.0,0.5763246006038298,-0.3654790042322018,0.08402040581701846,-0.2112976458945038,-0.08423734881653228,0.0038159787996799787,-0.025343245077604104,-0.025343245077604104,0.0026464967274879877
z5_mean,0.19745472524442678,0.752627836221942,0.46755036305152153,0.5763246006038298,1.0,-0.7513517432898119,0.12741598638186932,-0.5642227425733906,0.025530144692631023,-0.0013559861231213749,-0.0063452321922794555,-0.0063452321922794555,-0.011729213059069791
