latent,rt_group,time_ms,mean
z1,fast,-1000.0,0.07200592756271362
z1,fast,-996.0911865234375,0.13537319004535675
z1,fast,-992.1824340820312,0.1872050166130066
z1,fast,-988.2736206054688,0.22898253798484802
z1,fast,-984.3648071289062,0.2625182569026947
z1,fast,-980.4560546875,0.289382666349411
z1,fast,-976.5472412109375,0.3108958303928375
z1,fast,-972.638427734375,0.32811424136161804
z1,fast,-968.7296142578125,0.34185999631881714
z1,fast,-964.8208618164062,0.3527451455593109
z1,fast,-960.9120483398438,0.3612998127937317
z1,fast,-957.0032348632812,0.36802583932876587
z1,fast,-953.094482421875,0.3733818829059601
z1,fast,-949.1856689453125,0.3776682913303375
z1,fast,-945.27685546875,0.3810569941997528
z1,fast,-941.3681030273438,0.38371938467025757
z1,fast,-937.4592895507812,0.38585662841796875
z1,fast,-933.5504760742188,0.38766610622406006
z1,fast,-929.6417236328125,0.38924258947372437
z1,fast,-925.73291015625,0.39056864380836487
z1,fast,-921.8240966796875,0.3916463851928711
z1,fast,-917.915283203125,0.39246270060539246
z1,fast,-914.0065307617188,0.39307457208633423
z1,fast,-910.0977172851562,0.3935632109642029
z1,fast,-906.1889038085938,0.39396554231643677
z1,fast,-902.2801513671875,0.39431437849998474
z1,fast,-898.371337890625,0.3945674002170563
z1,fast,-894.4625244140625,0.3947148025035858
z1,fast,-890.5537719726562,0.3948231637477875
z1,fast,-886.6449584960938,0.39494505524635315
z1,fast,-882.7361450195312,0.3950995206832886
z1,fast,-878.8273315429688,0.39531591534614563
z1,fast,-874.9185791015625,0.3955950140953064
z1,fast,-871.009765625,0.395894855260849
z1,fast,-867.1009521484375,0.3961724042892456
z1,fast,-863.1921997070312,0.3964066207408905
z1,fast,-859.2833862304688,0.39660173654556274
z1,fast,-855.3745727539062,0.39674484729766846
z1,fast,-851.4658203125,0.3968133330345154
z1,fast,-847.5570068359375,0.3968348205089569
z1,fast,-843.648193359375,0.39689964056015015
z1,fast,-839.7394409179688,0.397005558013916
z1,fast,-835.8306274414062,0.3971101939678192
z1,fast,-831.9218139648438,0.3971918225288391
z1,fast,-828.0130004882812,0.3972371518611908
z1,fast,-824.104248046875,0.3972800672054291
z1,fast,-820.1954345703125,0.39735135436058044
z1,fast,-816.28662109375,0.39745208621025085
z1,fast,-812.3778686523438,0.39759549498558044
z1,fast,-808.4690551757812,0.39779484272003174
z1,fast,-804.5602416992188,0.3979871869087219
z1,fast,-800.6514892578125,0.3981516659259796
z1,fast,-796.74267578125,0.3982831537723541
z1,fast,-792.8338623046875,0.39840492606163025
z1,fast,-788.9251098632812,0.3985418379306793
z1,fast,-785.0162963867188,0.3987211287021637
z1,fast,-781.1074829101562,0.3989400267601013
z1,fast,-777.1986694335938,0.39921197295188904
z1,fast,-773.2899169921875,0.3995225727558136
z1,fast,-769.381103515625,0.39984217286109924
z1,fast,-765.4722900390625,0.4001602530479431
z1,fast,-761.5635375976562,0.40043923258781433
z1,fast,-757.6547241210938,0.4006490409374237
z1,fast,-753.7459106445312,0.40076377987861633
z1,fast,-749.837158203125,0.4008049964904785
z1,fast,-745.9283447265625,0.4008578956127167
z1,fast,-742.01953125,0.4009760022163391
z1,fast,-738.1107788085938,0.401101291179657
z1,fast,-734.2019653320312,0.40115827322006226
z1,fast,-730.2931518554688,0.40112820267677307
z1,fast,-726.3843383789062,0.4010629653930664
z1,fast,-722.4755859375,0.4009898602962494
z1,fast,-718.5667724609375,0.4009512662887573
z1,fast,-714.657958984375,0.4010123014450073
z1,fast,-710.7492065429688,0.4011838436126709
z1,fast,-706.8403930664062,0.40139326453208923
z1,fast,-702.9315795898438,0.4015306234359741
z1,fast,-699.0228271484375,0.40153270959854126
z1,fast,-695.114013671875,0.4014182984828949
z1,fast,-691.2052001953125,0.4012589752674103
z1,fast,-687.29638671875,0.4010816514492035
z1,fast,-683.3876342773438,0.40093323588371277
z1,fast,-679.4788208007812,0.40083423256874084
z1,fast,-675.5700073242188,0.4008164405822754
z1,fast,-671.6612548828125,0.4009266793727875
z1,fast,-667.75244140625,0.40112993121147156
z1,fast,-663.8436279296875,0.40136557817459106
z1,fast,-659.9348754882812,0.40160319209098816
z1,fast,-656.0260620117188,0.40179118514060974
z1,fast,-652.1172485351562,0.4018433690071106
z1,fast,-648.20849609375,0.4017527103424072
z1,fast,-644.2996826171875,0.40160071849823
z1,fast,-640.390869140625,0.401499480009079
z1,fast,-636.4820556640625,0.4014853835105896
z1,fast,-632.5733032226562,0.40153518319129944
z1,fast,-628.6644897460938,0.401607871055603
z1,fast,-624.7556762695312,0.40164119005203247
z1,fast,-620.846923828125,0.4015674293041229
z1,fast,-616.9381103515625,0.4013863503932953
z1,fast,-613.029296875,0.40116363763809204
z1,fast,-609.1205444335938,0.40092894434928894
z1,fast,-605.2117309570312,0.40067705512046814
