rank,metric_group,feature,r2,rmse,corr
3,all_channels_test,full_signal,0.45958036184310913,0.7947895961616182,0.6940552592277527
3,cpp_test,average_waveform,0.2667641043663025,0.10113958649917631,0.9481163024902344
3,cpp_feature_test,amp_minus600_to_minus50,0.4509366750717163,0.5642822165277319,0.7580707669258118
3,cpp_feature_test,slope_minus600_to_minus50,0.7543088868349345,0.0008528180407319162,0.9317051302783572
3,cpp_feature_test,amp_minus300_to_minus120,0.46242624521255493,0.6563928539468291,0.7594398260116577
3,cpp_feature_test,slope_minus300_to_minus120,0.7138286416571131,0.0028282184292039766,0.8542047119693893
3,cpp_feature_test,amp_minus120_to_minus50,0.6403656005859375,0.45711366611331866,0.8352907299995422
3,cpp_feature_test,slope_minus120_to_minus50,0.7686516742924716,0.008044674782299492,0.8808568274945584
