rank,epoch,train_total_loss,val_total_loss
3,1,1.9198792151042394,1.7067356904347737
3,2,1.6928214728832245,1.608521540959676
3,3,1.6103902629443578,1.5164732933044434
3,4,1.5879864862986974,1.4348198175430298
3,5,1.4732943773269653,1.3608576854070027
3,6,1.409038015774318,1.2939234574635823
3,7,1.3214470829282488,1.22725244363149
3,8,1.2319390901497431,1.1553337574005127
3,9,1.214688309601375,1.1027808984120686
3,10,1.1964958139828272,1.0599425832430522
3,11,1.143127134868077,1.0164155562718709
3,12,1.0588275705065047,0.9761089285214742
