window,target,baseline_r2,hidden_r2,baseline_plus_hidden_r2,baseline_plus_shuffled_hidden_r2,hidden_minus_baseline_r2,incremental_minus_baseline_r2,incremental_minus_shuffled_r2
early_pre_response,RT_ms,0.1967283269128466,0.13553238868405587,0.28767118628500016,0.1933639470459372,-0.06119593822879074,0.09094285937215354,0.09430723923906295
early_pre_response,log_RT_ms,0.19653593692894594,0.1490082124930229,0.2996462053745991,0.1946137378556249,-0.04752772443592304,0.10311026844565313,0.10503246751897416
full_pre_response,RT_ms,0.1967283269128466,0.13351144508022803,0.2850724789092109,0.1915104338084081,-0.06321688183261859,0.08834415199636428,0.0935620451008028
full_pre_response,log_RT_ms,0.19653593692894594,0.132306438672604,0.289262921375638,0.1942766651658271,-0.06422949825634194,0.09272698444669208,0.09498625620981094
late_pre_response,RT_ms,0.1967283269128466,0.050787121627544195,0.2238401671562717,0.0017358836742325412,-0.1459412052853024,0.027111840243425084,0.22210428348203914
late_pre_response,log_RT_ms,0.19653593692894594,0.04783985823538546,0.22359800804373903,-0.031030381553080643,-0.1486960786935605,0.027062071114793085,0.25462838959681966
mid_pre_response,RT_ms,0.1967283269128466,0.05785225551382298,0.23479559451426124,0.18613443078564115,-0.13887607139902364,0.03806726760141463,0.04866116372862009
mid_pre_response,log_RT_ms,0.19653593692894594,0.05524584125248795,0.22625601256711966,0.19387997486474484,-0.141290095676458,0.02972007563817372,0.03237603770237482
