window,target,model,n_trials,n_features,mean_cv_r2,std_cv_r2,pooled_cv_r2,mean_cv_rmse,mean_cv_mae,mean_alpha
full_pre_response,log_RT_ms,baseline,7297,43,0.19653593692894594,0.013960447671813238,0.19712644580157646,0.2590674149992491,0.21356090246566972,1000.0
full_pre_response,log_RT_ms,hidden,7297,32,0.132306438672604,0.020466344581073985,0.13300365619467092,0.2692097364971705,0.2179297207903121,237.13271066890212
full_pre_response,log_RT_ms,baseline_plus_hidden,7297,75,0.289262921375638,0.032063996357756336,0.2900229879601266,0.2435873441188315,0.19568241810777964,52.1584023817404
full_pre_response,log_RT_ms,baseline_plus_shuffled_hidden,7297,75,0.1942766651658271,0.015469928544542868,0.194881240807372,0.25942825456600876,0.2137142039909996,1000.0
full_pre_response,RT_ms,baseline,7297,43,0.1967283269128466,0.018975893586669127,0.1974426102454213,229.27461244405018,181.40691647628782,1230.8869380063766
full_pre_response,RT_ms,hidden,7297,32,0.13351144508022803,0.017334767614847087,0.13427559960694913,238.13039690170254,184.78335233901112,57.13271066890218
full_pre_response,RT_ms,baseline_plus_hidden,7297,75,0.2850724789092109,0.03223010996575991,0.28597348052690796,216.24003021069348,167.41091378086693,57.13271066890218
full_pre_response,RT_ms,baseline_plus_shuffled_hidden,7297,75,0.1915104338084081,0.017866933735649196,0.19214155432716118,230.02649072056556,182.05837642933207,1461.773876012753
early_pre_response,log_RT_ms,baseline,7297,43,0.19653593692894594,0.013960447671813238,0.19712644580157646,0.2590674149992491,0.21356090246566972,1000.0
early_pre_response,log_RT_ms,hidden,7297,32,0.1490082124930229,0.014918408173412227,0.14965251375245725,0.26661801026527077,0.21534755851694726,85.96391851515251
early_pre_response,log_RT_ms,baseline_plus_hidden,7297,75,0.2996462053745991,0.023485398337755713,0.300332178758839,0.24183404224377325,0.19425117100194841,73.59204704728931
early_pre_response,log_RT_ms,baseline_plus_shuffled_hidden,7297,75,0.1946137378556249,0.015237138702014383,0.1951877807891086,0.2593768393838108,0.21402265369187398,1230.8869380063766
early_pre_response,RT_ms,baseline,7297,43,0.1967283269128466,0.018975893586669127,0.1974426102454213,229.27461244405018,181.40691647628782,1230.8869380063766
early_pre_response,RT_ms,hidden,7297,32,0.13553238868405587,0.015866520677926717,0.13637061264919537,237.84943380469,184.54645107472714,78.5663553344511
early_pre_response,RT_ms,baseline_plus_hidden,7297,75,0.28767118628500016,0.025445901574946302,0.2885964940757477,215.86475163317468,166.8855916106998,73.59204704728931
early_pre_response,RT_ms,baseline_plus_shuffled_hidden,7297,75,0.1933639470459372,0.015536747975837619,0.19389633786328497,229.77287953574063,181.9603909244035,1461.773876012753
mid_pre_response,log_RT_ms,baseline,7297,43,0.19653593692894594,0.013960447671813238,0.19712644580157646,0.2590674149992491,0.21356090246566972,1000.0
mid_pre_response,log_RT_ms,hidden,7297,32,0.05524584125248795,0.02111783767093894,0.05595751807307714,0.28091578348330615,0.2305618018485555,176.66364458261435
mid_pre_response,log_RT_ms,baseline_plus_hidden,7297,75,0.22625601256711966,0.03959380227496045,0.22703899536442618,0.25414240415576783,0.20603442823010182,151.2660814019129
mid_pre_response,log_RT_ms,baseline_plus_shuffled_hidden,7297,75,0.19387997486474484,0.015574451582266181,0.19449161047856678,0.2594914529292689,0.21398818795702335,1230.8869380063766
mid_pre_response,RT_ms,baseline,7297,43,0.1967283269128466,0.018975893586669127,0.1974426102454213,229.27461244405018,181.40691647628782,1230.8869380063766
mid_pre_response,RT_ms,hidden,7297,32,0.05785225551382298,0.018930368690706634,0.05847037486442075,248.32327436609597,195.3459656072033,176.66364458261435
mid_pre_response,RT_ms,baseline_plus_hidden,7297,75,0.23479559451426124,0.027805071385382046,0.235626008859942,223.74414412899833,174.83887975828242,146.17738760127529
mid_pre_response,RT_ms,baseline_plus_shuffled_hidden,7297,75,0.18613443078564115,0.01357499617769789,0.18678377509324484,230.7947340611275,182.90590097398254,1923.5477520255058
late_pre_response,log_RT_ms,baseline,7297,43,0.19653593692894594,0.013960447671813238,0.19712644580157646,0.2590674149992491,0.21356090246566972,1000.0
late_pre_response,log_RT_ms,hidden,7297,32,0.04783985823538546,0.009393769452438654,0.048471437752621416,0.28203487439567654,0.2313570053097874,96.68074084792696
late_pre_response,log_RT_ms,baseline_plus_hidden,7297,75,0.22359800804373903,0.019226601610837064,0.2242423002385362,0.2546512599354602,0.2077215875706236,425.6635533445109
late_pre_response,log_RT_ms,baseline_plus_shuffled_hidden,7297,75,-0.031030381553080643,0.44606320997668664,-0.02650242587845808,0.2877601824109125,0.2164385318834703,1000.0
late_pre_response,RT_ms,baseline,7297,43,0.1967283269128466,0.018975893586669127,0.1974426102454213,229.27461244405018,181.40691647628782,1230.8869380063766
late_pre_response,RT_ms,hidden,7297,32,0.050787121627544195,0.008107244730648203,0.051474878890832354,249.2584095700764,196.37788220856822,83.65504913508873
late_pre_response,RT_ms,baseline_plus_hidden,7297,75,0.2238401671562717,0.020243180356847097,0.22468897069105576,225.357214386271,176.60855296969447,640.0
late_pre_response,RT_ms,baseline_plus_shuffled_hidden,7297,75,0.0017358836742325412,0.37327478689622634,0.009708889456264136,251.55076518122078,184.12678306114975,1461.773876012753
