window,target,model,fold,feature,coefficient,alpha
full_pre_response,log_RT_ms,hidden,3,hidden_00,-0.12735401093959808,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_01,0.0017297945450991392,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_02,0.03906456381082535,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_03,0.0754065066576004,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_04,-0.009311988949775696,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_05,-0.0003725176793523133,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_06,0.015616015531122684,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_07,0.1007411926984787,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_08,0.02340880036354065,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_09,0.02995811589062214,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_10,0.06253882497549057,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_11,-0.04661005362868309,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_12,0.031521085649728775,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_13,-0.11716252565383911,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_14,0.014107005670666695,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_15,0.0012810726184397936,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_16,-0.05959000438451767,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_17,0.030305104330182076,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_18,0.0860159620642662,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_19,0.05889207124710083,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_20,0.0637446865439415,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_21,0.005235336720943451,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_22,-0.027582718059420586,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_23,0.01811874285340309,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_24,-0.02266794443130493,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_25,0.016410216689109802,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_26,0.01620836928486824,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_27,0.010877154767513275,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_28,0.005135810934007168,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_29,0.011944197118282318,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_30,-0.1329999566078186,46.41588833612773
full_pre_response,log_RT_ms,hidden,3,hidden_31,-0.03803400695323944,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_00,-0.12701596319675446,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_01,0.01026185229420662,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_02,0.02990064024925232,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_03,0.09027855843305588,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_04,0.000468116020783782,46.41588833612773
full_pre_response,log_RT_ms,hidden,4,hidden_05,0.0016924117226153612,46.41588833612773
