rank,metric_group,feature,r2,rmse,corr
2,all_channels_test,full_signal,0.18027806282043457,0.9788584460789118,0.43800273537635803
2,cpp_test,average_waveform,0.48791807889938354,0.08452185537608331,0.9023783206939697
2,cpp_feature_test,amp_minus600_to_minus50,0.31358957290649414,0.6309240680037579,0.7234069108963013
2,cpp_feature_test,slope_minus600_to_minus50,0.4987217219454879,0.0012181509207229455,0.880001005178381
2,cpp_feature_test,amp_minus300_to_minus120,0.3138185143470764,0.7415907619152976,0.7185326814651489
2,cpp_feature_test,slope_minus300_to_minus120,0.537984087087096,0.00359358839746675,0.7899019704625876
2,cpp_feature_test,amp_minus120_to_minus50,0.45453840494155884,0.5629575775587885,0.7875207662582397
2,cpp_feature_test,slope_minus120_to_minus50,0.5933581480095659,0.010665503159858595,0.8314171736241365
3,all_channels_test,full_signal,0.45958036184310913,0.7947895961616182,0.6940552592277527
3,cpp_test,average_waveform,0.2667641043663025,0.10113958649917631,0.9481163024902344
3,cpp_feature_test,amp_minus600_to_minus50,0.4509366750717163,0.5642822165277319,0.7580707669258118
3,cpp_feature_test,slope_minus600_to_minus50,0.7543088868349345,0.0008528180407319162,0.9317051302783572
3,cpp_feature_test,amp_minus300_to_minus120,0.46242624521255493,0.6563928539468291,0.7594398260116577
3,cpp_feature_test,slope_minus300_to_minus120,0.7138286416571131,0.0028282184292039766,0.8542047119693893
3,cpp_feature_test,amp_minus120_to_minus50,0.6403656005859375,0.45711366611331866,0.8352907299995422
3,cpp_feature_test,slope_minus120_to_minus50,0.7686516742924716,0.008044674782299492,0.8808568274945584
5,all_channels_test,full_signal,0.5195069313049316,0.7494284518334084,0.7300565242767334
5,cpp_test,average_waveform,0.8131716251373291,0.051052934796019335,0.9444910883903503
5,cpp_feature_test,amp_minus600_to_minus50,0.5039983987808228,0.5363233606358878,0.7480491399765015
5,cpp_feature_test,slope_minus600_to_minus50,0.8260509140854212,0.0007175839731521258,0.921679277217377
5,cpp_feature_test,amp_minus300_to_minus120,0.5050555467605591,0.6298295582578,0.7468346357345581
5,cpp_feature_test,slope_minus300_to_minus120,0.7039878738314491,0.002876435344754799,0.8402320090454709
5,cpp_feature_test,amp_minus120_to_minus50,0.6723782420158386,0.4362947176282363,0.8300802111625671
5,cpp_feature_test,slope_minus120_to_minus50,0.6527395137842734,0.009856052221255265,0.8082922562361795
