window,model,fold,feature,coefficient
early (-600 to -300 ms),baseline+z,4,baseline_1,-0.025895865634083748
early (-600 to -300 ms),baseline+z,4,baseline_2,-0.036761097609996796
early (-600 to -300 ms),baseline+z,4,baseline_3,0.009274070151150227
early (-600 to -300 ms),baseline+z,4,baseline_4,0.020671766251325607
early (-600 to -300 ms),baseline+z,4,z1_mean,-0.04211389273405075
early (-600 to -300 ms),baseline+z,4,z2_mean,-0.06021486967802048
early (-600 to -300 ms),baseline+z,4,z3_mean,-0.006270099431276321
early (-600 to -300 ms),baseline+z,4,z4_mean,-0.08233754336833954
early (-600 to -300 ms),baseline+z,4,z5_mean,0.0802345722913742
early (-600 to -300 ms),baseline+z,5,baseline_0,0.061607588082551956
early (-600 to -300 ms),baseline+z,5,baseline_1,-0.026797279715538025
early (-600 to -300 ms),baseline+z,5,baseline_2,-0.03293869271874428
early (-600 to -300 ms),baseline+z,5,baseline_3,0.012231019325554371
early (-600 to -300 ms),baseline+z,5,baseline_4,0.023773305118083954
early (-600 to -300 ms),baseline+z,5,z1_mean,-0.08629141747951508
early (-600 to -300 ms),baseline+z,5,z2_mean,-0.08374688029289246
early (-600 to -300 ms),baseline+z,5,z3_mean,0.018304012715816498
early (-600 to -300 ms),baseline+z,5,z4_mean,-0.1472884863615036
early (-600 to -300 ms),baseline+z,5,z5_mean,0.13959693908691406
early (-600 to -300 ms),baseline+shuffled-z,1,baseline_0,0.060604799538850784
early (-600 to -300 ms),baseline+shuffled-z,1,baseline_1,-0.024008816108107567
early (-600 to -300 ms),baseline+shuffled-z,1,baseline_2,-0.037129007279872894
early (-600 to -300 ms),baseline+shuffled-z,1,baseline_3,0.010424325242638588
early (-600 to -300 ms),baseline+shuffled-z,1,baseline_4,0.027489304542541504
early (-600 to -300 ms),baseline+shuffled-z,1,shuffled_z1_mean,-0.0066552069038152695
early (-600 to -300 ms),baseline+shuffled-z,1,shuffled_z2_mean,-0.0012102141045033932
early (-600 to -300 ms),baseline+shuffled-z,1,shuffled_z3_mean,0.008188446052372456
early (-600 to -300 ms),baseline+shuffled-z,1,shuffled_z4_mean,-0.0026262064930051565
early (-600 to -300 ms),baseline+shuffled-z,1,shuffled_z5_mean,-0.005500409752130508
early (-600 to -300 ms),baseline+shuffled-z,2,baseline_0,0.0618770606815815
early (-600 to -300 ms),baseline+shuffled-z,2,baseline_1,-0.03003973700106144
early (-600 to -300 ms),baseline+shuffled-z,2,baseline_2,-0.040715157985687256
early (-600 to -300 ms),baseline+shuffled-z,2,baseline_3,0.007824396714568138
early (-600 to -300 ms),baseline+shuffled-z,2,baseline_4,0.021706365048885345
early (-600 to -300 ms),baseline+shuffled-z,2,shuffled_z1_mean,-0.009732190519571304
early (-600 to -300 ms),baseline+shuffled-z,2,shuffled_z2_mean,0.002855529310181737
early (-600 to -300 ms),baseline+shuffled-z,2,shuffled_z3_mean,0.010493182577192783
early (-600 to -300 ms),baseline+shuffled-z,2,shuffled_z4_mean,-0.004293895326554775
early (-600 to -300 ms),baseline+shuffled-z,2,shuffled_z5_mean,-0.008079564198851585
early (-600 to -300 ms),baseline+shuffled-z,3,baseline_0,0.05679403245449066
early (-600 to -300 ms),baseline+shuffled-z,3,baseline_1,-0.029496269300580025
early (-600 to -300 ms),baseline+shuffled-z,3,baseline_2,-0.03914014250040054
early (-600 to -300 ms),baseline+shuffled-z,3,baseline_3,0.008628617972135544
early (-600 to -300 ms),baseline+shuffled-z,3,baseline_4,0.02455102652311325
early (-600 to -300 ms),baseline+shuffled-z,3,shuffled_z1_mean,-0.007805579341948032
early (-600 to -300 ms),baseline+shuffled-z,3,shuffled_z2_mean,-0.0020604878664016724
early (-600 to -300 ms),baseline+shuffled-z,3,shuffled_z3_mean,0.007847599685192108
early (-600 to -300 ms),baseline+shuffled-z,3,shuffled_z4_mean,-0.004349124617874622
early (-600 to -300 ms),baseline+shuffled-z,3,shuffled_z5_mean,0.00014791078865528107
early (-600 to -300 ms),baseline+shuffled-z,4,baseline_0,0.058031611144542694
early (-600 to -300 ms),baseline+shuffled-z,4,baseline_1,-0.02724948152899742
early (-600 to -300 ms),baseline+shuffled-z,4,baseline_2,-0.037278540432453156
early (-600 to -300 ms),baseline+shuffled-z,4,baseline_3,0.010994445532560349
early (-600 to -300 ms),baseline+shuffled-z,4,baseline_4,0.021380281075835228
early (-600 to -300 ms),baseline+shuffled-z,4,shuffled_z1_mean,-0.009287561289966106
early (-600 to -300 ms),baseline+shuffled-z,4,shuffled_z2_mean,-0.0009545548819005489
early (-600 to -300 ms),baseline+shuffled-z,4,shuffled_z3_mean,0.006416017655283213
early (-600 to -300 ms),baseline+shuffled-z,4,shuffled_z4_mean,-0.006401301361620426
early (-600 to -300 ms),baseline+shuffled-z,4,shuffled_z5_mean,-0.0017714030109345913
early (-600 to -300 ms),baseline+shuffled-z,5,baseline_0,0.06212823837995529
early (-600 to -300 ms),baseline+shuffled-z,5,baseline_1,-0.027605626732110977
early (-600 to -300 ms),baseline+shuffled-z,5,baseline_2,-0.03349164128303528
early (-600 to -300 ms),baseline+shuffled-z,5,baseline_3,0.011831868439912796
early (-600 to -300 ms),baseline+shuffled-z,5,baseline_4,0.024580419063568115
early (-600 to -300 ms),baseline+shuffled-z,5,shuffled_z1_mean,-0.00507803400978446
early (-600 to -300 ms),baseline+shuffled-z,5,shuffled_z2_mean,0.00041984609561041
early (-600 to -300 ms),baseline+shuffled-z,5,shuffled_z3_mean,0.0020595709793269634
early (-600 to -300 ms),baseline+shuffled-z,5,shuffled_z4_mean,-0.0021458344999700785
early (-600 to -300 ms),baseline+shuffled-z,5,shuffled_z5_mean,-0.003033602610230446
early (-600 to -300 ms),baseline+cpp,1,baseline_0,0.06058402359485626
early (-600 to -300 ms),baseline+cpp,1,baseline_1,-0.02185174450278282
early (-600 to -300 ms),baseline+cpp,1,baseline_2,-0.03762879967689514
