seed,subject_id,cpp_feature,z_feature,within_subject_corr
0,sub-STSWD1239,CPP_late_mean,aligned_z1_slope,0.6346970665934493
0,sub-STSWD1240,CPP_late_mean,aligned_z1_slope,0.5714762178209374
0,sub-STSWD1243,CPP_late_mean,aligned_z1_slope,0.39750493814791277
0,sub-STSWD1245,CPP_late_mean,aligned_z1_slope,0.5453212627232682
0,sub-STSWD1247,CPP_late_mean,aligned_z1_slope,0.48986518701260673
0,sub-STSWD1250,CPP_late_mean,aligned_z1_slope,0.45067145924764773
0,sub-STSWD1252,CPP_late_mean,aligned_z1_slope,0.45696849381593874
0,sub-STSWD1257,CPP_late_mean,aligned_z1_slope,0.5140528102095316
0,sub-STSWD1261,CPP_late_mean,aligned_z1_slope,0.5517062946940953
0,sub-STSWD1265,CPP_late_mean,aligned_z1_slope,0.39707194481208113
0,sub-STSWD1266,CPP_late_mean,aligned_z1_slope,0.5271870038296935
0,sub-STSWD1268,CPP_late_mean,aligned_z1_slope,0.5468891776109545
0,sub-STSWD1270,CPP_late_mean,aligned_z1_slope,0.5763143284276762
0,sub-STSWD1276,CPP_late_mean,aligned_z1_slope,0.5865777273216048
0,sub-STSWD1281,CPP_late_mean,aligned_z1_slope,0.4233023641302649
0,sub-STSWD1117,CPP_late_mean,aligned_z1_peak,0.5357066988945007
0,sub-STSWD1118,CPP_late_mean,aligned_z1_peak,0.528243362903595
0,sub-STSWD1120,CPP_late_mean,aligned_z1_peak,0.5366530418395996
0,sub-STSWD1124,CPP_late_mean,aligned_z1_peak,0.6258962750434875
0,sub-STSWD1126,CPP_late_mean,aligned_z1_peak,0.5138626098632812
0,sub-STSWD1131,CPP_late_mean,aligned_z1_peak,0.42067453265190125
0,sub-STSWD1132,CPP_late_mean,aligned_z1_peak,0.5167543292045593
0,sub-STSWD1135,CPP_late_mean,aligned_z1_peak,0.5019441843032837
0,sub-STSWD1136,CPP_late_mean,aligned_z1_peak,0.554887056350708
0,sub-STSWD1151,CPP_late_mean,aligned_z1_peak,0.49628207087516785
0,sub-STSWD1160,CPP_late_mean,aligned_z1_peak,0.4772336184978485
0,sub-STSWD1164,CPP_late_mean,aligned_z1_peak,0.3274235725402832
0,sub-STSWD1167,CPP_late_mean,aligned_z1_peak,0.5134899616241455
0,sub-STSWD1169,CPP_late_mean,aligned_z1_peak,0.4484015107154846
0,sub-STSWD1172,CPP_late_mean,aligned_z1_peak,0.5383353233337402
0,sub-STSWD1173,CPP_late_mean,aligned_z1_peak,0.42646658420562744
0,sub-STSWD1178,CPP_late_mean,aligned_z1_peak,0.42705202102661133
0,sub-STSWD1182,CPP_late_mean,aligned_z1_peak,0.5804024338722229
0,sub-STSWD1215,CPP_late_mean,aligned_z1_peak,0.45083650946617126
0,sub-STSWD1216,CPP_late_mean,aligned_z1_peak,0.5705471038818359
0,sub-STSWD1219,CPP_late_mean,aligned_z1_peak,0.44370633363723755
0,sub-STSWD1223,CPP_late_mean,aligned_z1_peak,0.4972850978374481
0,sub-STSWD1227,CPP_late_mean,aligned_z1_peak,0.5833653211593628
0,sub-STSWD1233,CPP_late_mean,aligned_z1_peak,0.43156057596206665
0,sub-STSWD1234,CPP_late_mean,aligned_z1_peak,0.5412726402282715
0,sub-STSWD1237,CPP_late_mean,aligned_z1_peak,0.5991396903991699
0,sub-STSWD1239,CPP_late_mean,aligned_z1_peak,0.5569181442260742
0,sub-STSWD1240,CPP_late_mean,aligned_z1_peak,0.4314999580383301
0,sub-STSWD1243,CPP_late_mean,aligned_z1_peak,0.4675725996494293
0,sub-STSWD1245,CPP_late_mean,aligned_z1_peak,0.4505995810031891
0,sub-STSWD1247,CPP_late_mean,aligned_z1_peak,0.5547100901603699
0,sub-STSWD1250,CPP_late_mean,aligned_z1_peak,0.5395044088363647
0,sub-STSWD1252,CPP_late_mean,aligned_z1_peak,0.4482469856739044
0,sub-STSWD1257,CPP_late_mean,aligned_z1_peak,0.626986026763916
0,sub-STSWD1261,CPP_late_mean,aligned_z1_peak,0.49113014340400696
0,sub-STSWD1265,CPP_late_mean,aligned_z1_peak,0.4872123897075653
0,sub-STSWD1266,CPP_late_mean,aligned_z1_peak,0.5010294318199158
0,sub-STSWD1268,CPP_late_mean,aligned_z1_peak,0.4188852310180664
0,sub-STSWD1270,CPP_late_mean,aligned_z1_peak,0.5419957041740417
0,sub-STSWD1276,CPP_late_mean,aligned_z1_peak,0.46706756949424744
0,sub-STSWD1281,CPP_late_mean,aligned_z1_peak,0.5294959545135498
0,sub-STSWD1117,CPP_late_mean,aligned_z1_peak_time,0.36739498376846313
0,sub-STSWD1118,CPP_late_mean,aligned_z1_peak_time,0.2343517541885376
0,sub-STSWD1120,CPP_late_mean,aligned_z1_peak_time,0.25778108835220337
0,sub-STSWD1124,CPP_late_mean,aligned_z1_peak_time,0.20542079210281372
0,sub-STSWD1126,CPP_late_mean,aligned_z1_peak_time,0.3712196350097656
0,sub-STSWD1131,CPP_late_mean,aligned_z1_peak_time,0.2848662734031677
0,sub-STSWD1132,CPP_late_mean,aligned_z1_peak_time,0.30625227093696594
0,sub-STSWD1135,CPP_late_mean,aligned_z1_peak_time,0.3689470887184143
0,sub-STSWD1136,CPP_late_mean,aligned_z1_peak_time,0.3448103070259094
0,sub-STSWD1151,CPP_late_mean,aligned_z1_peak_time,0.24221670627593994
0,sub-STSWD1160,CPP_late_mean,aligned_z1_peak_time,0.2548145055770874
0,sub-STSWD1164,CPP_late_mean,aligned_z1_peak_time,0.2024250477552414
0,sub-STSWD1167,CPP_late_mean,aligned_z1_peak_time,0.33257144689559937
0,sub-STSWD1169,CPP_late_mean,aligned_z1_peak_time,0.39429694414138794
0,sub-STSWD1172,CPP_late_mean,aligned_z1_peak_time,0.28074830770492554
0,sub-STSWD1173,CPP_late_mean,aligned_z1_peak_time,0.21761232614517212
0,sub-STSWD1178,CPP_late_mean,aligned_z1_peak_time,0.3279367685317993
0,sub-STSWD1182,CPP_late_mean,aligned_z1_peak_time,0.1829933375120163
0,sub-STSWD1215,CPP_late_mean,aligned_z1_peak_time,0.4417171776294708
0,sub-STSWD1216,CPP_late_mean,aligned_z1_peak_time,0.40297430753707886
0,sub-STSWD1219,CPP_late_mean,aligned_z1_peak_time,0.35582393407821655
0,sub-STSWD1223,CPP_late_mean,aligned_z1_peak_time,0.2765548825263977
0,sub-STSWD1227,CPP_late_mean,aligned_z1_peak_time,0.2997044324874878
0,sub-STSWD1233,CPP_late_mean,aligned_z1_peak_time,0.17829149961471558
0,sub-STSWD1234,CPP_late_mean,aligned_z1_peak_time,0.4304744601249695
0,sub-STSWD1237,CPP_late_mean,aligned_z1_peak_time,0.3582562208175659
0,sub-STSWD1239,CPP_late_mean,aligned_z1_peak_time,0.401986300945282
0,sub-STSWD1240,CPP_late_mean,aligned_z1_peak_time,0.25259315967559814
0,sub-STSWD1243,CPP_late_mean,aligned_z1_peak_time,0.2525143623352051
0,sub-STSWD1245,CPP_late_mean,aligned_z1_peak_time,0.4322440028190613
0,sub-STSWD1247,CPP_late_mean,aligned_z1_peak_time,0.42210322618484497
0,sub-STSWD1250,CPP_late_mean,aligned_z1_peak_time,0.3322773873806
0,sub-STSWD1252,CPP_late_mean,aligned_z1_peak_time,0.281588613986969
0,sub-STSWD1257,CPP_late_mean,aligned_z1_peak_time,0.30626946687698364
0,sub-STSWD1261,CPP_late_mean,aligned_z1_peak_time,0.4333988428115845
0,sub-STSWD1265,CPP_late_mean,aligned_z1_peak_time,0.3356688320636749
0,sub-STSWD1266,CPP_late_mean,aligned_z1_peak_time,0.3295747935771942
0,sub-STSWD1268,CPP_late_mean,aligned_z1_peak_time,0.3991420269012451
0,sub-STSWD1270,CPP_late_mean,aligned_z1_peak_time,0.38547173142433167
0,sub-STSWD1276,CPP_late_mean,aligned_z1_peak_time,0.39528888463974
0,sub-STSWD1281,CPP_late_mean,aligned_z1_peak_time,0.3030374050140381
0,sub-STSWD1117,CPP_late_mean,aligned_z2_late_mean,0.9726448655128479
0,sub-STSWD1118,CPP_late_mean,aligned_z2_late_mean,0.9642536044120789
0,sub-STSWD1120,CPP_late_mean,aligned_z2_late_mean,0.9754807949066162
0,sub-STSWD1124,CPP_late_mean,aligned_z2_late_mean,0.9811580181121826
0,sub-STSWD1126,CPP_late_mean,aligned_z2_late_mean,0.6904810667037964
0,sub-STSWD1131,CPP_late_mean,aligned_z2_late_mean,0.9795476794242859
0,sub-STSWD1132,CPP_late_mean,aligned_z2_late_mean,0.9007582664489746
0,sub-STSWD1135,CPP_late_mean,aligned_z2_late_mean,0.9736051559448242
0,sub-STSWD1136,CPP_late_mean,aligned_z2_late_mean,0.9133248329162598
0,sub-STSWD1151,CPP_late_mean,aligned_z2_late_mean,0.9753210544586182
0,sub-STSWD1160,CPP_late_mean,aligned_z2_late_mean,0.965983510017395
0,sub-STSWD1164,CPP_late_mean,aligned_z2_late_mean,0.9568259716033936
0,sub-STSWD1167,CPP_late_mean,aligned_z2_late_mean,0.9729639887809753
0,sub-STSWD1169,CPP_late_mean,aligned_z2_late_mean,0.9803856015205383
0,sub-STSWD1172,CPP_late_mean,aligned_z2_late_mean,0.9625394940376282
0,sub-STSWD1173,CPP_late_mean,aligned_z2_late_mean,0.9669090509414673
