seed,cpp_feature,z_feature,pooled_corr
1,CPP_slope,aligned_z2_late_mean,0.4429239846492691
1,CPP_slope,aligned_z2_slope,0.943193382048273
1,CPP_slope,aligned_z2_peak,-0.051541165026232696
1,CPP_slope,aligned_z2_peak_time,0.2431388751664148
1,CPP_slope,aligned_z3_late_mean,0.4504698996894232
1,CPP_slope,aligned_z3_slope,0.9405975827060413
1,CPP_slope,aligned_z3_peak,-0.05468746863964691
1,CPP_slope,aligned_z3_peak_time,0.24987223900579053
1,CPP_slope,aligned_z4_late_mean,0.37951314148584725
1,CPP_slope,aligned_z4_slope,0.8072562054167781
1,CPP_slope,aligned_z4_peak,-0.045953051583396604
1,CPP_slope,aligned_z4_peak_time,0.20725185083512998
1,CPP_slope,aligned_z5_late_mean,0.3702384453446101
1,CPP_slope,aligned_z5_slope,0.805559618092673
1,CPP_slope,aligned_z5_peak,-0.05850694713586325
1,CPP_slope,aligned_z5_peak_time,0.17857982398471392
1,CPP_peak,aligned_z1_late_mean,0.49464625120162964
1,CPP_peak,aligned_z1_slope,-0.030225789195070338
1,CPP_peak,aligned_z1_peak,0.8415398001670837
1,CPP_peak,aligned_z1_peak_time,-0.03355512395501137
1,CPP_peak,aligned_z2_late_mean,0.5671533346176147
1,CPP_peak,aligned_z2_slope,-0.04864806563242691
1,CPP_peak,aligned_z2_peak,0.9540076851844788
1,CPP_peak,aligned_z2_peak_time,-0.02140829712152481
1,CPP_peak,aligned_z3_late_mean,0.4610646069049835
1,CPP_peak,aligned_z3_slope,-0.02373051704499763
1,CPP_peak,aligned_z3_peak,0.9111669063568115
1,CPP_peak,aligned_z3_peak_time,-0.020379219204187393
1,CPP_peak,aligned_z4_late_mean,0.4455767869949341
1,CPP_peak,aligned_z4_slope,-0.01261899856379345
1,CPP_peak,aligned_z4_peak,0.709313154220581
1,CPP_peak,aligned_z4_peak_time,-0.008066888898611069
1,CPP_peak,aligned_z5_late_mean,0.4028317332267761
1,CPP_peak,aligned_z5_slope,-0.017499386747409588
1,CPP_peak,aligned_z5_peak,0.5914510488510132
1,CPP_peak,aligned_z5_peak_time,-0.011206657625734806
1,CPP_peak_time,aligned_z1_late_mean,0.2603907883167267
