seed,model,fold,cv_r2,rmse,mae,n_test_subjects,n_test_trials,delta_r2_vs_cpp_only
3,All-z,3,0.10746019354763048,0.28359680024863915,0.22550565273657328,8,1432,0.009517611936212367
3,All-z,4,0.13238653909029707,0.24212988333820915,0.19847651085496548,8,1453,0.03444395747887896
3,All-z,5,0.08100488367943437,0.2843718106430174,0.23121973007724173,8,1435,-0.016937697931983742
3,All-z,pooled,0.11693893773381314,0.2717031672917985,0.22002164718511658,41,7297,0.01899635612239503
3,Full,1,0.1481250155763726,0.2823430302054335,0.2304881094650137,8,1434,0.050182433964954476
3,Full,2,0.08805904709907553,0.2632921595435865,0.21432104392130336,9,1543,-0.009883534512342584
3,Full,3,0.10839538079162203,0.28344818748274053,0.22530632533460612,8,1432,0.01045279918020392
3,Full,4,0.13342071612762796,0.24198553344011717,0.19826651722452476,8,1453,0.03547813451620985
3,Full,5,0.0711565995955904,0.2858914657914311,0.2324267124101555,8,1435,-0.026785982015827714
3,Full,pooled,0.11690786953967136,0.27170794683245875,0.22001775516765307,41,7297,0.01896528792825325
4,baseline,1,0.04844258260989498,0.2984053727260659,0.24799386806876703,8,1434,-0.04950221893419704
4,baseline,2,0.031665278642812655,0.27131094828270325,0.2248654263708849,9,1543,-0.06627952290127936
4,baseline,3,0.05281374151946805,0.29214955136418985,0.23676151782589902,8,1432,-0.04513106002462397
4,baseline,4,0.049403082387079245,0.2534448395829877,0.21293564076677163,8,1453,-0.048541719157012775
4,baseline,5,0.054330455329260285,0.28846932802549397,0.2396034663266513,8,1435,-0.043614346214831734
4,baseline,pooled,0.055373352769649276,0.2810149530282976,0.23226798868582138,41,7297,-0.042571448774442744
4,CPP-only,1,0.12103688985291727,0.28679690672741937,0.2361333175945511,8,1434,0.023092088308825254
4,CPP-only,2,0.08172929921089722,0.26420432993872,0.2169032104361518,9,1543,-0.016215502333194798
4,CPP-only,3,0.09012826535593288,0.28633709609639524,0.22859668664112962,8,1432,-0.00781653618815914
4,CPP-only,4,0.1041152424030295,0.24604317685277405,0.20413794720813097,8,1453,0.006170440858937476
4,CPP-only,5,0.05566708582657376,0.2882653914359744,0.23543658163395426,8,1435,-0.04227771571751826
4,CPP-only,pooled,0.09794480154409202,0.27460971045348564,0.22407992576974167,41,7297,0.0
