,probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,rt_is_not_outlier,subj_idx,stim_onset,stim_code,resp_onset_sample,subj_id
54,1.0,0.28291,4,1,2,1,1,1,1,True,sub-STSWD1117,186926,8,186926.0,sub-STSWD1117
55,1.0,0.49978,4,1,1,1,1,1,1,True,sub-STSWD1117,189358,8,189358.0,sub-STSWD1117
56,1.0,0.31678,4,1,2,1,1,1,1,True,sub-STSWD1117,191790,8,191790.0,sub-STSWD1117
57,1.0,0.32371,4,1,2,1,1,1,1,True,sub-STSWD1117,194222,8,194222.0,sub-STSWD1117
58,1.0,0.40765,4,1,1,1,1,1,1,True,sub-STSWD1117,196654,8,196654.0,sub-STSWD1117
59,0.0,0.29958,4,1,1,1,1,1,1,True,sub-STSWD1117,199086,8,199086.0,sub-STSWD1117
60,1.0,0.31652,4,1,2,1,1,1,1,True,sub-STSWD1117,201518,8,201518.0,sub-STSWD1117
61,1.0,0.79883,1,4,2,1,1,1,1,True,sub-STSWD1117,237528,8,237528.0,sub-STSWD1117
62,1.0,0.86186,3,4,2,1,1,1,1,True,sub-STSWD1117,239960,8,239960.0,sub-STSWD1117
63,0.0,0.75875,3,4,1,1,1,1,1,True,sub-STSWD1117,242392,8,242392.0,sub-STSWD1117
64,1.0,1.5126,1,4,1,1,1,1,1,True,sub-STSWD1117,244824,8,244824.0,sub-STSWD1117
65,1.0,0.76263,2,4,2,1,1,1,1,True,sub-STSWD1117,247256,8,247256.0,sub-STSWD1117
66,1.0,0.79756,2,4,2,1,1,1,1,True,sub-STSWD1117,249688,8,249688.0,sub-STSWD1117
67,0.0,0.96143,4,4,1,1,1,1,1,True,sub-STSWD1117,252120,8,252120.0,sub-STSWD1117
68,1.0,0.91143,2,4,1,1,1,1,1,True,sub-STSWD1117,254552,8,254552.0,sub-STSWD1117
69,1.0,0.43031,3,2,2,1,1,1,1,True,sub-STSWD1117,259032,8,259032.0,sub-STSWD1117
70,1.0,0.27926,3,2,2,1,1,1,1,True,sub-STSWD1117,261464,8,261464.0,sub-STSWD1117
71,1.0,0.56319,3,2,2,1,1,1,1,True,sub-STSWD1117,263896,8,263896.0,sub-STSWD1117
72,1.0,0.34004,4,2,2,1,1,1,1,True,sub-STSWD1117,266328,8,266328.0,sub-STSWD1117
73,1.0,0.58604,3,2,2,1,1,1,1,True,sub-STSWD1117,268760,8,268760.0,sub-STSWD1117
74,1.0,0.60799,4,2,2,1,1,1,1,True,sub-STSWD1117,271192,8,271192.0,sub-STSWD1117
75,1.0,0.43493,4,2,2,1,1,1,1,True,sub-STSWD1117,273624,8,273624.0,sub-STSWD1117
76,1.0,0.70986,4,2,2,1,1,1,1,True,sub-STSWD1117,276056,8,276056.0,sub-STSWD1117
77,0.0,0.31075,1,1,1,1,1,1,1,True,sub-STSWD1117,280536,8,280536.0,sub-STSWD1117
78,1.0,0.4147,1,1,2,1,1,1,1,True,sub-STSWD1117,282968,8,282968.0,sub-STSWD1117
79,1.0,0.50663,1,1,1,1,1,1,1,True,sub-STSWD1117,285400,8,285400.0,sub-STSWD1117
