time_ms,latent,correlation_with_log_rt,model_version
-1000.0,z1,0.0251430106205536,no_prior
-996.0911865234376,z1,0.0369137522705056,no_prior
-992.1824340820312,z1,0.0373435287322325,no_prior
-988.2736206054688,z1,0.0352502703472467,no_prior
-984.3648071289062,z1,0.0335599102581257,no_prior
-980.4560546875,z1,0.0322446963458324,no_prior
-976.5472412109376,z1,0.03099384856038,no_prior
-972.638427734375,z1,0.0293783801759219,no_prior
-968.7296142578124,z1,0.0272962491505151,no_prior
-964.8208618164062,z1,0.0254028087399308,no_prior
-960.9120483398438,z1,0.0239352652852691,no_prior
-957.0032348632812,z1,0.022836128148457,no_prior
-953.094482421875,z1,0.0213903363026227,no_prior
-949.1856689453124,z1,0.0191125235339018,no_prior
-945.27685546875,z1,0.0166005674786425,no_prior
-941.3681030273438,z1,0.0144551690692812,no_prior
-937.4592895507812,z1,0.0130721732558312,no_prior
-933.5504760742188,z1,0.0121400211773952,no_prior
-929.6417236328124,z1,0.0109179850687118,no_prior
-925.73291015625,z1,0.0090641757510509,no_prior
-921.8240966796876,z1,0.0067695913958931,no_prior
-917.915283203125,z1,0.0045618432038993,no_prior
-914.0065307617188,z1,0.002150187715782,no_prior
-910.0977172851562,z1,-0.0010634205064271,no_prior
-906.1889038085938,z1,-0.0049486588157821,no_prior
-902.2801513671876,z1,-0.0094642534276448,no_prior
-898.371337890625,z1,-0.0136035176905543,no_prior
-894.4625244140625,z1,-0.0166342385380331,no_prior
-890.5537719726562,z1,-0.0193672272370849,no_prior
-886.6449584960938,z1,-0.0226678274997506,no_prior
-882.7361450195312,z1,-0.0266279250749261,no_prior
-878.8273315429688,z1,-0.0312260446457285,no_prior
-874.9185791015625,z1,-0.0361061533956528,no_prior
-871.009765625,z1,-0.0404295032754831,no_prior
-867.1009521484375,z1,-0.0437121652665998,no_prior
-863.1921997070312,z1,-0.0456421232140029,no_prior
-859.2833862304688,z1,-0.0463548944667606,no_prior
-855.3745727539062,z1,-0.0461221941610731,no_prior
-851.4658203125,z1,-0.0451478725428926,no_prior
-847.5570068359375,z1,-0.0438981478127447,no_prior
-843.648193359375,z1,-0.0434588173554184,no_prior
-839.7394409179688,z1,-0.0437509087347744,no_prior
-835.8306274414062,z1,-0.0443200058849014,no_prior
-831.9218139648438,z1,-0.0452973205499688,no_prior
-828.0130004882812,z1,-0.0469492695140338,no_prior
-824.104248046875,z1,-0.0493681160893468,no_prior
-820.1954345703125,z1,-0.0522508031613939,no_prior
-816.28662109375,z1,-0.054701600626856,no_prior
-812.3778686523438,z1,-0.0566308765157151,no_prior
-808.4690551757812,z1,-0.0589269166977984,no_prior
-804.5602416992188,z1,-0.061528903011772,no_prior
-800.6514892578125,z1,-0.0646368448935106,no_prior
-796.74267578125,z1,-0.0677709118258937,no_prior
-792.8338623046875,z1,-0.0705673218328356,no_prior
-788.9251098632812,z1,-0.0732305784101906,no_prior
