latent,z1_mean,z2_mean,z3_mean,z4_mean,z5_mean,CPP amplitude,CPP slope,Late CPP amplitude,RT,condition,difficulty,evidence_strength,correctness,model_version
z1_mean,1.0,0.0371948819903857,0.3708262848086295,-0.5522462470601684,0.1974547252444267,-0.3049751483177338,0.0553269590904269,-0.2647133897491388,0.0948422099180873,-0.0134011030846962,0.0102415170017823,0.0102415170017823,-0.0007808329188109,no_prior
z2_mean,0.0371948819903857,1.0,0.3876208729642251,0.424015263281833,0.752627836221942,-0.7400458197914227,0.1467616218445829,-0.5218139715383407,-0.0143512413896126,-0.0052753196250302,-0.0254028893806423,-0.0254028893806423,-0.0027997867830244,no_prior
z3_mean,0.3708262848086295,0.3876208729642251,1.0,0.3410076034334069,0.4675503630515215,-0.7193523061214938,0.1573004033711223,-0.4997809995516946,-0.0277600606146847,-0.013568501438499,-0.0268582660088319,-0.0268582660088319,0.008329117555752,no_prior
z4_mean,-0.5522462470601684,0.424015263281833,0.3410076034334069,1.0,0.5763246006038298,-0.3654790042322018,0.0840204058170186,-0.2112976458945038,-0.0842373488165322,0.0038159787996799,-0.0253432450776041,-0.0253432450776041,0.0026464967274879,no_prior
z5_mean,0.1974547252444267,0.752627836221942,0.4675503630515215,0.5763246006038298,1.0,-0.7513517432898119,0.1274159863818696,-0.5642227425733906,0.025530144692631,-0.0013559861231213,-0.0063452321922794,-0.0063452321922794,-0.0117292130590697,no_prior
z1_mean,1.0,-0.0184472702166083,0.3701680766572536,-0.4960045620673731,0.1842766682635228,-0.2879547520596091,0.051761913779409,-0.2521520356156675,0.0929254532332424,-0.0127844768607957,0.0115808333449162,0.0115808333449162,0.0001195572493241,cpp_prior
z2_mean,-0.0184472702166083,1.0,0.4014886601490307,0.4949500598246331,0.7644135161160225,-0.7434668341668697,0.1469379889631146,-0.5249813169259031,-0.013084231566127,-0.0051227934269326,-0.0249729870404854,-0.0249729870404854,-0.0029937904189746,cpp_prior
z3_mean,0.3701680766572536,0.4014886601490307,1.0,0.3748468827829729,0.489595903131495,-0.7276232628410777,0.158009457295813,-0.5055223147754209,-0.0294808689933019,-0.0131018140232303,-0.0269362787078533,-0.0269362787078533,0.0080510187470731,cpp_prior
z4_mean,-0.4960045620673731,0.4949500598246331,0.3748468827829729,1.0,0.6441126290751185,-0.4078471315779839,0.0890304396754678,-0.2476836641746311,-0.075729492469495,0.00377436610637,-0.0241298183722229,-0.0241298183722229,0.0011699989991072,cpp_prior
z5_mean,0.1842766682635228,0.7644135161160225,0.489595903131495,0.6441126290751185,1.0,-0.7475806847683497,0.1265824954957367,-0.5617081493707164,0.0261941057222028,-0.0012128357666014,-0.0059800701891829,-0.0059800701891829,-0.0118295297148977,cpp_prior
