window_label,z1,z2,z3,z4,z5
Early,0.004852691648368657,-0.0010432231719468277,-0.0018943061756127033,0.002662635950118064,0.005446512307098028
Response,-0.0010071639105838637,0.03027404473515527,0.039819739404875154,0.012477624813736155,0.027438175207538773
Across-response,-0.0020482917248924037,0.017248643854367973,0.03303188086344566,0.01296223509170713,0.02107274280563809
Late,-0.0024614223131422808,0.0017942436093467684,0.019796438901757085,0.011100762524155594,0.01326466527411907
Slope+Amplitude,-0.0012706671390283475,0.03164747104919374,0.04092488832053376,0.011736348027213905,0.026257364577052744
Peak-amplitude,-0.0024459430976578878,0.0073746338100930675,0.022930023837168023,0.010970340024644809,0.014283244029705155
