probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,rt_is_not_outlier,subj_idx,stim_onset,stim_code,resp_onset_sample,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1.0,0.94196,4,4,2,1,1,1,1,True,sub-STSWD1117,110639,8,110639.0,0.6041956622998819,-0.24166129247698215,0.702211740485792,3rd,2nd,3rd,0.29581311266912874,-0.31970293339417105,0.4135440755669983
1.0,0.62813,1,4,2,1,1,1,1,True,sub-STSWD1117,113071,8,113071.0,0.270856934054321,-0.17907771761227098,1.085034680852457,3rd,2nd,4th,0.29581311266912874,-0.31970293339417105,1.1996708374367313
1.0,1.0548,1,4,1,1,1,1,1,True,sub-STSWD1117,115503,8,115503.0,-0.04890400651898445,-0.06632800650025962,0.9828190328429856,2nd,3rd,4th,-0.2974868301304781,0.2310303470787792,1.1996708374367313
0.0,0.51561,1,3,1,1,1,1,1,True,sub-STSWD1117,119983,8,119983.0,-0.8762975445116084,-0.899314707580815,0.3299294458977535,1st,1st,3rd,-1.1896506904453836,-1.144855065854786,0.4135440755669983
1.0,1.2296,2,3,1,1,1,1,1,True,sub-STSWD1117,122415,8,122415.0,-0.3149772711081064,2.45154654098441,0.6814182969749765,2nd,4th,3rd,-0.2974868301304781,1.2321201508000914,0.4135440755669983
1.0,0.83454,1,3,2,1,1,1,1,True,sub-STSWD1117,124847,8,124847.0,-0.4884195258353537,0.419385358421559,0.2574630480470855,2nd,3rd,3rd,-0.2974868301304781,0.2310303470787792,0.4135440755669983
1.0,0.82348,1,3,1,1,1,1,1,True,sub-STSWD1117,127279,8,127279.0,0.5631582993978923,0.10841131167976661,0.28440482356373786,3rd,3rd,3rd,0.29581311266912874,0.2310303470787792,0.4135440755669983
1.0,0.70839,1,3,1,1,1,1,1,True,sub-STSWD1117,129711,8,129711.0,0.063993135545483,-0.0614101980799464,-1.2176859886350822,3rd,3rd,1st,0.29581311266912874,0.2310303470787792,-1.2900705156220775
1.0,0.79539,1,3,2,1,1,1,1,True,sub-STSWD1117,132143,8,132143.0,-0.7711080954477192,-1.1248777828408587,0.2025410497917789,1st,1st,3rd,-1.1896506904453836,-1.144855065854786,0.4135440755669983
1.0,1.2483,2,3,1,1,1,1,1,True,sub-STSWD1117,134575,8,134575.0,1.2711231704696477,-0.05678473315446247,0.30910908161505357,4th,3rd,3rd,1.2102077521995167,0.2310303470787792,0.4135440755669983
1.0,0.63018,4,3,2,1,1,1,1,True,sub-STSWD1117,137007,8,137007.0,0.6797436131426544,3.161347617699733,0.9912144295587167,4th,4th,4th,1.2102077521995167,1.2321201508000914,1.1996708374367313
0.0,0.89816,4,4,1,1,1,1,1,True,sub-STSWD1117,141487,8,141487.0,-0.539376265260905,-1.1788955676380328,0.7789360958060916,2nd,1st,4th,-0.2974868301304781,-1.144855065854786,1.1996708374367313
1.0,0.95604,4,4,2,1,1,1,1,True,sub-STSWD1117,143919,8,143919.0,0.14976604950729713,1.0374653108409648,0.8002896683445196,3rd,4th,4th,0.29581311266912874,1.2321201508000914,1.1996708374367313
1.0,0.47802,1,4,2,1,1,1,1,True,sub-STSWD1117,146351,8,146351.0,-0.736720393926127,-0.5645089212965263,-1.9694130039204834,1st,2nd,1st,-1.1896506904453836,-0.31970293339417105,-1.2900705156220775
1.0,0.95596,3,4,2,1,1,1,1,True,sub-STSWD1117,148783,8,148783.0,-0.4623352072573088,-0.6615346325409175,0.8700799086505392,2nd,1st,4th,-0.2974868301304781,-1.144855065854786,1.1996708374367313
0.0,0.6458,3,4,1,1,1,1,1,True,sub-STSWD1117,151215,8,151215.0,-0.3855792106173936,0.26862243047609485,0.8132825337596381,2nd,3rd,4th,-0.2974868301304781,0.2310303470787792,1.1996708374367313
1.0,0.63779,4,4,2,1,1,1,1,True,sub-STSWD1117,153647,8,153647.0,0.489067500409195,-0.21785475829074266,0.837414583280667,3rd,2nd,4th,0.29581311266912874,-0.31970293339417105,1.1996708374367313
1.0,0.92576,2,4,2,1,1,1,1,True,sub-STSWD1117,156078,8,156078.0,-0.32034005111632197,0.847355117571665,1.0284661531243664,2nd,4th,4th,-0.2974868301304781,1.2321201508000914,1.1996708374367313
0.0,0.5447,1,4,1,1,1,1,1,True,sub-STSWD1117,158510,8,158510.0,-0.31555527592674987,-0.4697258608617483,0.7404903848889844,2nd,2nd,3rd,-0.2974868301304781,-0.31970293339417105,0.4135440755669983
1.0,0.80453,4,2,2,1,1,1,1,True,sub-STSWD1117,162990,8,162990.0,-1.4101101354921963,-1.6544322911485911,0.080506935703267,1st,1st,3rd,-1.1896506904453836,-1.144855065854786,0.4135440755669983
0.0,0.92146,3,2,1,1,1,1,1,True,sub-STSWD1117,165422,8,165422.0,0.024295056247286714,0.5419378144310206,1.3915996399857846,3rd,4th,4th,0.29581311266912874,1.2321201508000914,1.1996708374367313
1.0,0.60645,4,2,1,1,1,1,1,True,sub-STSWD1117,167854,8,167854.0,0.7557124150048752,-0.8390031216440518,0.9656630072589167,4th,1st,4th,1.2102077521995167,-1.144855065854786,1.1996708374367313
1.0,0.25835,4,2,2,1,1,1,1,True,sub-STSWD1117,170286,8,170286.0,1.144651289980819,0.19978705386752085,-0.8771772806099606,4th,3rd,1st,1.2102077521995167,0.2310303470787792,-1.2900705156220775
1.0,0.41527,3,2,2,1,1,1,1,True,sub-STSWD1117,172718,8,172718.0,0.1614891631589254,-0.31512921894400875,-0.031469349486277366,3rd,2nd,2nd,0.29581311266912874,-0.31970293339417105,-0.30266708760987315
1.0,0.46321,4,2,1,1,1,1,1,True,sub-STSWD1117,175150,8,175150.0,-0.3186051411970616,0.013040565299029656,-0.619066547581856,2nd,3rd,2nd,-0.2974868301304781,0.2310303470787792,-0.30266708760987315
1.0,0.31115,3,2,2,1,1,1,1,True,sub-STSWD1117,177582,8,177582.0,1.496772702777194,0.9129831913755412,-0.3370822819792434,4th,4th,2nd,1.2102077521995167,1.2321201508000914,-0.30266708760987315
0.0,0.33309,3,2,1,1,1,1,1,True,sub-STSWD1117,180014,8,180014.0,-0.3639960904062384,-0.8575901551991567,-0.9404279437507754,2nd,1st,1st,-0.2974868301304781,-1.144855065854786,-1.2900705156220775
1.0,0.25397,4,1,1,1,1,1,1,True,sub-STSWD1117,184494,8,184494.0,0.8329717310037277,1.226077190091537,-0.7989819964760173,4th,4th,1st,1.2102077521995167,1.2321201508000914,-1.2900705156220775
1.0,0.28291,4,1,2,1,1,1,1,True,sub-STSWD1117,186926,8,186926.0,-0.7685370405943824,-0.9157617054361318,-0.3412785155057058,1st,1st,2nd,-1.1896506904453836,-1.144855065854786,-0.30266708760987315
1.0,0.49978,4,1,1,1,1,1,1,True,sub-STSWD1117,189358,8,189358.0,-0.22398322270333873,-1.231393447156022,-0.05430677580480676,2nd,1st,2nd,-0.2974868301304781,-1.144855065854786,-0.30266708760987315
1.0,0.31678,4,1,2,1,1,1,1,True,sub-STSWD1117,191790,8,191790.0,1.1127530498485045,1.287955351740682,0.26803673734403793,4th,4th,3rd,1.2102077521995167,1.2321201508000914,0.4135440755669983
1.0,0.32371,4,1,2,1,1,1,1,True,sub-STSWD1117,194222,8,194222.0,0.8758635991726654,-0.12792253080502922,-0.031057533029595838,4th,2nd,2nd,1.2102077521995167,-0.31970293339417105,-0.30266708760987315
1.0,0.40765,4,1,1,1,1,1,1,True,sub-STSWD1117,196654,8,196654.0,-1.5868535018200132,-1.3826382219003552,-0.12852264113051656,1st,1st,2nd,-1.1896506904453836,-1.144855065854786,-0.30266708760987315
0.0,0.29958,4,1,1,1,1,1,1,True,sub-STSWD1117,199086,8,199086.0,-1.5907522307050561,-0.5797206873772689,0.13391596889753793,1st,2nd,3rd,-1.1896506904453836,-0.31970293339417105,0.4135440755669983
1.0,0.31652,4,1,2,1,1,1,1,True,sub-STSWD1117,201518,8,201518.0,-0.045663420465453235,1.1187212547713496,-0.15777752137177262,2nd,4th,2nd,-0.2974868301304781,1.2321201508000914,-0.30266708760987315
1.0,0.79883,1,4,2,1,1,1,1,True,sub-STSWD1117,237528,8,237528.0,-0.3804660470059614,0.5991221757884905,-0.47642975825837514,2nd,4th,2nd,-0.2974868301304781,1.2321201508000914,-0.30266708760987315
1.0,0.86186,3,4,2,1,1,1,1,True,sub-STSWD1117,239960,8,239960.0,-0.4628437252572364,-0.20063329802490118,-0.029213220922374643,2nd,2nd,2nd,-0.2974868301304781,-0.31970293339417105,-0.30266708760987315
0.0,0.75875,3,4,1,1,1,1,1,True,sub-STSWD1117,242392,8,242392.0,0.3361380632032913,-0.6855614993912025,-0.5138488707141198,3rd,1st,2nd,0.29581311266912874,-1.144855065854786,-0.30266708760987315
1.0,1.5126,1,4,1,1,1,1,1,True,sub-STSWD1117,244824,8,244824.0,-1.4367824183062423,,0.5853496234983312,1st,,3rd,-1.1896506904453836,,0.4135440755669983
1.0,0.76263,2,4,2,1,1,1,1,True,sub-STSWD1117,247256,8,247256.0,0.27252837192315166,0.28038613886856956,-0.8079134008084573,3rd,3rd,1st,0.29581311266912874,0.2310303470787792,-1.2900705156220775
1.0,0.79756,2,4,2,1,1,1,1,True,sub-STSWD1117,249688,8,249688.0,-0.9817907955952443,0.24161226003012368,-0.07945325954863489,1st,3rd,2nd,-1.1896506904453836,0.2310303470787792,-0.30266708760987315
0.0,0.96143,4,4,1,1,1,1,1,True,sub-STSWD1117,252120,8,252120.0,-0.6420521569243004,0.4492644279030897,-0.21675430666917775,1st,3rd,2nd,-1.1896506904453836,0.2310303470787792,-0.30266708760987315
1.0,0.91143,2,4,1,1,1,1,1,True,sub-STSWD1117,254552,8,254552.0,-0.34181905318674766,0.24241066867157637,1.4453639925404445,2nd,3rd,4th,-0.2974868301304781,0.2310303470787792,1.1996708374367313
1.0,0.43031,3,2,2,1,1,1,1,True,sub-STSWD1117,259032,8,259032.0,1.5118906066915594,0.6445156287145994,-0.05984415865959065,4th,4th,2nd,1.2102077521995167,1.2321201508000914,-0.30266708760987315
1.0,0.27926,3,2,2,1,1,1,1,True,sub-STSWD1117,261464,8,261464.0,0.43576549840639417,0.35041853963737923,-0.5592560760226524,3rd,3rd,2nd,0.29581311266912874,0.2310303470787792,-0.30266708760987315
1.0,0.56319,3,2,2,1,1,1,1,True,sub-STSWD1117,263896,8,263896.0,-1.581657738131355,0.8982804882140286,-0.919683321399067,1st,4th,1st,-1.1896506904453836,1.2321201508000914,-1.2900705156220775
1.0,0.34004,4,2,2,1,1,1,1,True,sub-STSWD1117,266328,8,266328.0,0.21364568560332595,0.04160630334692181,-1.098124859320336,3rd,3rd,1st,0.29581311266912874,0.2310303470787792,-1.2900705156220775
1.0,0.58604,3,2,2,1,1,1,1,True,sub-STSWD1117,268760,8,268760.0,0.7160145782027477,-0.9222730741241936,-1.5829772632129406,4th,1st,1st,1.2102077521995167,-1.144855065854786,-1.2900705156220775
