fold,test_subject_ids,positive_label_name,positive_waveform_correlation,positive_peak_amplitude_real_uv,positive_peak_amplitude_generated_uv,positive_peak_amplitude_error_uv,positive_peak_latency_real_seconds,positive_peak_latency_generated_seconds,positive_peak_latency_error_seconds,positive_baseline_mean_real_uv,positive_baseline_mean_generated_uv,positive_baseline_mean_abs_error_uv,positive_distribution_distance,positive_real_trial_count,positive_generated_trial_count,negative_label_name,negative_waveform_correlation,negative_peak_amplitude_real_uv,negative_peak_amplitude_generated_uv,negative_peak_amplitude_error_uv,negative_peak_latency_real_seconds,negative_peak_latency_generated_seconds,negative_peak_latency_error_seconds,negative_baseline_mean_real_uv,negative_baseline_mean_generated_uv,negative_baseline_mean_abs_error_uv,negative_distribution_distance,negative_real_trial_count,negative_generated_trial_count,waveform_correlation_mean,peak_amplitude_error_mean_uv,peak_latency_error_mean_seconds,baseline_mean_abs_error_mean_uv,distribution_distance_mean
1,sub-1117,positive,-0.15591874692563062,1.271698465643567e-06,0.00188719411380589,0.0018859224153402465,-0.04313725490196074,0.019607843137254943,0.06274509803921569,-1.7017061093582697e-09,0.0013157868525013328,0.0013157885542074421,710.9320767546204,84,4,negative,0.16216331428826666,-2.931868493760703e-06,0.001627576188184321,0.0016305080566780816,-0.04313725490196074,0.01176470588235301,0.05490196078431375,1.743088118288938e-09,0.0008187995990738273,0.000818797855985709,2701.735430565046,58,4,0.0031222836813180194,0.001758215236009164,0.05882352941176472,0.0010672932050965755,1706.3337536598333
2,sub-1118,positive,-0.21389060733543386,2.5485153400950367e-06,0.0013990092556923628,0.0013964607403522677,-0.027450980392156876,0.04313725490196074,0.07058823529411762,-2.8242697069913447e-09,0.003970386926084757,0.003970389750354464,1902.1916554510503,53,4,negative,0.15456964990864472,-2.4210316951212008e-06,0.0013560921652242541,0.0013585131969193753,-0.04313725490196074,0.04313725490196074,0.08627450980392148,-5.8949871650781915e-09,0.003906143130734563,0.003906149025721728,1366.0280647873806,66,4,-0.02966047871339457,0.0013774869686358215,0.07843137254901955,0.003938269388038096,1634.1098601192155
3,sub-1120,positive,0.09329788810066982,7.426191928061598e-07,-0.0005025786231271923,0.0005033212423199984,0.019607843137254943,0.019607843137254943,0.0,1.0316545395738785e-09,0.0016542382072657347,0.001654237175611195,1670.5716718921262,102,4,negative,0.23273013527565742,-3.1040522117109504e-06,0.0013650399632751942,0.0013681440154869051,-0.0117647058823529,0.0039215686274509665,0.015686274509803866,1.6166390892635718e-08,0.0027162579353898764,0.0027162417689989837,2648.894827953591,60,4,0.16301401168816362,0.0009357326289034518,0.007843137254901933,0.0021852394723050894,2159.7332499228587
4,sub-1124,positive,-0.2009300377693094,2.666065256562433e-06,0.0022732610814273357,0.0022705950161707733,-0.04313725490196074,-0.04313725490196074,0.0,-6.436419841548968e-09,0.0027684555388987064,0.002768461975318548,2217.692233249589,69,4,negative,0.3765418053096098,-3.740407009900082e-06,0.0017914955969899893,0.0017952360039998894,0.04313725490196074,-0.0039215686274509665,0.04705882352941171,5.946790171407201e-09,0.0036392498295754194,0.003639243882785248,2173.094912535562,64,4,0.0878058837701502,0.0020329155100853313,0.023529411764705854,0.003203852929051898,2195.3935728925753
5,sub-1126,positive,-0.1998252525997718,2.345024540773011e-06,0.0019152353052049875,0.0019128902806642145,-0.04313725490196074,0.0039215686274509665,0.04705882352941171,5.610653275311961e-09,0.002603355795145035,0.0026033501844917595,2384.807058370423,39,4,negative,0.21976323288030677,-2.1254318198771216e-06,-0.000384083716198802,0.00038195828437892487,-0.0039215686274509665,0.03529411764705881,0.039215686274509776,-3.0139363227377203e-10,0.0021649508271366358,0.002164951128530268,2007.0652076942683,66,4,0.009968990140267489,0.0011474242825215697,0.04313725490196074,0.0023841506565110138,2195.9361330323454
