split,accuracy,balanced_accuracy,f1,roc_auc,n_samples
val,0.903960396039604,0.859033863373603,0.7668269230769231,0.9554220849943106,2020
test,0.8981115502854633,0.8593029602517177,0.7843866171003717,0.948649371775937,2277
