probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,stim_onset,stim_code,is_valid_trial,is_missing_response,is_rt_outlier,resp_onset_sample,response_sample,response_sample_source,trial_index,subject_id,cpp_channels,sampling_frequency,pre_response_slope,late_amplitude,post_response_amplitude,post_response_drop,pre_response_monotonicity,epoch_n_times,tensor_row_index,pre_response_slope_z,late_amplitude_z,post_response_drop_z,pre_response_monotonicity_z,cpp_score,morphology_gate,cpp_label,cpp_threshold,task_proxy_label
1.0,0.33796,2,1,2,1,1,1,1,sub-STSWD1117,72496,8,True,False,False,72496.0,72583,stim_onset_plus_probe_rt,14,sub-1117,"CP1,CPz,CP2,Pz",256.0,1.8387761343245086e-05,1.9685021e-06,1.3602167e-06,6.082854e-07,0.30757184209704763,206,14,0.6442033132955786,0.23912455,0.21918914,0.7341199307615034,0.4198791335177589,1,1,0.004399449557834897,1
1.0,1.2271,4,3,2,1,1,1,1,sub-STSWD1117,76976,8,True,False,False,76976.0,77290,stim_onset_plus_probe_rt,15,sub-1117,"CP1,CPz,CP2,Pz",256.0,-2.5040028955073843e-06,-1.5319101e-07,-7.0635303e-07,5.53162e-07,0.19741523731284707,206,15,-0.04145269878004141,-0.285003,0.19701599,0.45501813872315666,0.028019814277078257,0,0,0.004399449557834897,1
1.0,1.089,1,3,1,1,1,1,1,sub-STSWD1117,79407,8,True,False,False,79407.0,79686,stim_onset_plus_probe_rt,16,sub-1117,"CP1,CPz,CP2,Pz",256.0,2.500260529390662e-05,-2.2718225e-06,3.9125268e-07,-2.663075e-06,-0.276023244697063,206,16,0.8612987903400754,-0.8083742,-1.0967022,-0.7445243581406593,-0.40458280939407765,0,0,0.004399449557834897,1
1.0,0.68574,1,3,2,1,1,1,1,sub-STSWD1117,81839,8,True,False,False,81839.0,82015,stim_onset_plus_probe_rt,17,sub-1117,"CP1,CPz,CP2,Pz",256.0,-1.0409112250868809e-05,-2.735631e-06,-1.2246868e-06,-1.5109441e-06,-0.518096671790447,206,17,-0.30089396442312194,-0.9229501,-0.6332623,-1.357861410775727,-0.7245820101252212,0,0,0.004399449557834897,1
0.0,1.1926,3,3,1,1,1,1,1,sub-STSWD1117,86703,8,True,False,False,86703.0,87008,stim_onset_plus_probe_rt,18,sub-1117,"CP1,CPz,CP2,Pz",256.0,1.0210426038471447e-06,-6.695839e-06,-1.1083394e-05,4.3875552e-06,-0.07082099731152319,206,18,0.07423732202678278,-1.9012508,1.7393849,-0.2246071449349857,-0.057123485734699275,0,0,0.004399449557834897,1
1.0,1.2944,4,3,1,1,1,1,1,sub-STSWD1117,91567,8,True,False,False,91567.0,91898,stim_onset_plus_probe_rt,19,sub-1117,"CP1,CPz,CP2,Pz",256.0,-7.255219759915383e-05,-1.7911794e-05,-1.7035672e-05,-8.761217e-07,-0.8654327910167925,206,19,-2.34039525263622,-4.6719584,-0.37790754,-2.2379006377075106,-2.431203303533465,0,0,0.004399449557834897,1
1.0,0.64042,4,3,2,1,1,1,1,sub-STSWD1117,93999,8,True,False,False,93999.0,94163,stim_onset_plus_probe_rt,20,sub-1117,"CP1,CPz,CP2,Pz",256.0,-3.348408936879216e-05,5.613266e-06,7.3593646e-06,-1.7460989e-06,0.03823767517426586,206,20,-1.0582018015498666,1.1395004,-0.7278523,0.051712835948017746,-0.17734208254907843,0,0,0.004399449557834897,1
0.0,1.1713,2,4,1,1,1,1,1,sub-STSWD1117,98479,8,True,False,False,98479.0,98779,stim_onset_plus_probe_rt,21,sub-1117,"CP1,CPz,CP2,Pz",256.0,-3.44486456663208e-05,-2.0858029e-06,3.5528453e-07,-2.4410874e-06,0.0994085112442316,206,21,-1.089857999505574,-0.7624213,-1.0074085,0.20670027406902358,-0.7875250491819263,0,0,0.004399449557834897,1
1.0,1.0842,2,4,1,1,1,1,1,sub-STSWD1117,100911,8,True,False,False,100911.0,101189,stim_onset_plus_probe_rt,22,sub-1117,"CP1,CPz,CP2,Pz",256.0,4.1855790697757864e-05,2.903168e-07,-1.3859091e-06,1.6762258e-06,-0.12253469377579516,206,22,1.4144109048900393,-0.17544208,0.6487638,-0.3556331999262482,0.48854742745209967,1,1,0.004399449557834897,1
1.0,1.2052,2,4,1,1,1,1,1,sub-STSWD1117,103343,8,True,False,False,103343.0,103652,stim_onset_plus_probe_rt,23,sub-1117,"CP1,CPz,CP2,Pz",256.0,-3.731361821742525e-05,-4.592744e-06,-4.6066652e-06,1.3921181e-08,-0.7089337203379484,206,23,-1.1838847955026597,-1.3817178,-0.019891432,-1.8413817801740036,-1.0017671194968196,0,0,0.004399449557834897,1
0.0,0.976,3,4,1,1,1,1,1,sub-STSWD1117,108207,8,True,False,False,108207.0,108457,stim_onset_plus_probe_rt,24,sub-1117,"CP1,CPz,CP2,Pz",256.0,-6.733169526555516e-06,-1.3840805e-06,5.7649584e-07,-1.9605764e-06,0.21638085137213867,206,24,-0.18025158112952475,-0.58907294,-0.81412494,0.5030709711559075,-0.3805468514603435,0,0,0.004399449557834897,1
