comparison,metric,observed_difference,bootstrap_mean_difference,bootstrap_ci_low,bootstrap_ci_high,direction_probability,permutation_p_value,fdr_corrected_p_value,statistical_label
late_pre_response_minus_early_pre_response,pc1_explained,0.049331685253960034,0.04976513017253619,0.012540339118057228,0.08767994329741138,0.9945,0.0029985007496251873,0.008995502248875561,statistically_supported
late_pre_response_minus_early_pre_response,participation_ratio,-0.2755309564157389,-0.27764913307447026,-0.4610711412092511,-0.09093383068478171,0.998,0.0014992503748125937,0.008995502248875561,statistically_supported
late_pre_response_minus_mid_pre_response,pc1_explained,0.03882471263222109,0.03919354476274956,0.004504541901700421,0.07269772928134066,0.9905,0.018490754622688656,0.027736131934032984,statistically_supported
late_pre_response_minus_mid_pre_response,participation_ratio,-0.20547448154060177,-0.20677948042625927,-0.3694651569155013,-0.042241276521370476,0.9925,0.011494252873563218,0.022988505747126436,statistically_supported
mid_pre_response_minus_early_pre_response,pc1_explained,0.010506972621738941,0.010571585409786621,-0.017449121945998,0.039720285802735025,0.7595,0.5392303848075962,0.5392303848075962,trend_only
mid_pre_response_minus_early_pre_response,participation_ratio,-0.07005647487513711,-0.07086965264821095,-0.21564192568276355,0.06413452835643753,0.834,0.4107946026986507,0.4929535232383809,trend_only
