time_index,time_ms,pc1_explained,pc2_explained,pc1_pc2_cumulative,n_pc_80,n_pc_90,participation_ratio
0,-1000.0,0.8737652165447467,0.11327657115573796,0.9870417877004847,1,2,1.2878878071718565
1,-996.0911865234375,0.878391231081413,0.10933004366169198,0.987721274743105,1,2,1.2760392063466255
2,-992.1824340820312,0.8853885524832391,0.10339882847038616,0.9887873809536253,1,2,1.258289090390322
3,-988.2736206054688,0.893561487767099,0.09607509704407746,0.9896365848111764,1,2,1.2379455714341245
4,-984.3648071289062,0.9013056766603545,0.08844898523098298,0.9897546618913375,1,1,1.2190957509407283
5,-980.4560546875,0.9069215308779804,0.08236218844133737,0.9892837193193178,1,1,1.205683546044097
6,-976.5472412109375,0.9087683053704112,0.07999922086700298,0.9887675262374142,1,1,1.2013658905677458
7,-972.638427734375,0.9056902010765728,0.082883013519735,0.9885732145963079,1,1,1.2087880257614476
8,-968.7296142578125,0.8977390515477126,0.09089932545792064,0.9886383770056333,1,2,1.228007644074946
9,-964.8208618164062,0.8864485175444627,0.1021274331881765,0.9885759507326393,1,2,1.2557269061641507
10,-960.9120483398438,0.8740729477276052,0.11383596808051086,0.9879089158081161,1,2,1.2868218608169006
11,-957.0032348632812,0.8624517785640132,0.12402007699395448,0.9864718555579677,1,2,1.3168515134978958
12,-953.094482421875,0.8535161388317655,0.13127816605466652,0.984794304886432,1,2,1.3405634939974742
13,-949.1856689453125,0.8503291725222458,0.13347161447976177,0.9838007870020076,1,2,1.3492785895529869
14,-945.27685546875,0.8551106691066811,0.12876762062569244,0.9838782897323736,1,2,1.3367996260963442
15,-941.3681030273438,0.8661699945207312,0.11839342499982278,0.9845634195205539,1,2,1.308034634579724
16,-937.4592895507812,0.878105444504462,0.10714858920271013,0.9852540337071721,1,2,1.2775186534709544
17,-933.5504760742188,0.8854577043992922,0.10026477804400907,0.9857224824433013,1,2,1.2589824946600017
18,-929.6417236328125,0.8862907171845423,0.09957661700725759,0.9858673341918,1,2,1.2568712044824202
19,-925.73291015625,0.8834213248350001,0.10219015934578886,0.985611484180789,1,2,1.2640897094533536
20,-921.8240966796875,0.8820655071224095,0.10313686714919072,0.9852023742716002,1,2,1.267594622238872
21,-917.915283203125,0.8845067064634418,0.10059798652372806,0.9851046929871698,1,2,1.2615209363910191
22,-914.0065307617188,0.8868540447007396,0.0984789234393436,0.9853329681400832,1,2,1.2556136653981553
23,-910.0977172851562,0.8831770757094668,0.10206358678860454,0.9852406624980713,1,2,1.2648036398980098
24,-906.1889038085938,0.8725702886666049,0.11185995681135597,0.9844302454779609,1,2,1.29176606528914
25,-902.2801513671875,0.860414602323122,0.12338099821741275,0.9837956005405347,1,2,1.3231035532646032
26,-898.371337890625,0.8526434917063095,0.13192412117951535,0.9845676128858248,1,2,1.3429253003565238
27,-894.4625244140625,0.8505828334037653,0.13591068390509928,0.9864935173088646,1,2,1.3474450434286027
28,-890.5537719726562,0.8524831196091788,0.13572173935906437,0.9882048589682432,1,2,1.341765011311499
29,-886.6449584960938,0.8566690774377776,0.13214058277925309,0.9888096602170308,1,2,1.330728183518261
30,-882.7361450195312,0.8617881538737837,0.1266393416326199,0.9884274955064036,1,2,1.3177830230084546
31,-878.8273315429688,0.8668315102022176,0.12083720249308114,0.9876687126952988,1,2,1.3052264865698746
32,-874.9185791015625,0.8712437606287685,0.1158048189557909,0.9870485795845594,1,2,1.2942568110318031
33,-871.009765625,0.8741245380232611,0.11263847914904199,0.9867630171723031,1,2,1.2870735872853882
34,-867.1009521484375,0.8744572164706325,0.11222316436771747,0.98668038083835,1,2,1.286261522221456
35,-863.1921997070312,0.873025649505072,0.11360260943761924,0.9866282589426912,1,2,1.2898929364089562
36,-859.2833862304688,0.8734527083084109,0.11338524120921281,0.9868379495176237,1,2,1.2887443491478225
37,-855.3745727539062,0.8786590773749524,0.10895154526673131,0.9876106226416838,1,2,1.2754033074861828
38,-851.4658203125,0.886629128090695,0.10190589103192636,0.9885350191226214,1,2,1.2552918913584077
39,-847.5570068359375,0.8928050637885776,0.09605761688504486,0.9888626806736225,1,2,1.239999423912731
40,-843.648193359375,0.8944819707433576,0.09391561120393657,0.9883975819472941,1,2,1.236013343889925
41,-839.7394409179688,0.8914091461730538,0.09620308756641982,0.9876122337394736,1,2,1.2437520787640752
42,-835.8306274414062,0.8850287059092874,0.10209546252204946,0.9871241684313369,1,2,1.2596598895687885
43,-831.9218139648438,0.8786026497376159,0.10851054903097285,0.9871131987685888,1,2,1.2757002166626723
44,-828.0130004882812,0.875846055656043,0.11140242923132385,0.9872484848873668,1,2,1.2825784290460724
45,-824.104248046875,0.8779494963260387,0.10922974625654223,0.9871792425825809,1,2,1.2773173027680156
46,-820.1954345703125,0.8831481318678547,0.10371679473991144,0.9868649266077661,1,2,1.2644138013185575
47,-816.28662109375,0.8881382286145992,0.0983505993437638,0.986488827958363,1,2,1.2521209280606647
48,-812.3778686523438,0.8897844624701041,0.0964321271936866,0.9862165896637907,1,2,1.2481191979338193
49,-808.4690551757812,0.8868998929992867,0.0991106783086314,0.9860105713079181,1,2,1.2553193358598331
