comparison,metric,difference,sample_index
late_pre_response_minus_mid_pre_response,participation_ratio,0.11178948950759837,14
mid_pre_response_minus_early_pre_response,pc1_explained,0.0075251318814734125,14
mid_pre_response_minus_early_pre_response,participation_ratio,-0.030112906861788247,14
late_pre_response_minus_early_pre_response,pc1_explained,0.031001310938768456,15
late_pre_response_minus_early_pre_response,participation_ratio,-0.13466398534518564,15
late_pre_response_minus_mid_pre_response,pc1_explained,0.016265615500136166,15
late_pre_response_minus_mid_pre_response,participation_ratio,-0.07310820980980637,15
mid_pre_response_minus_early_pre_response,pc1_explained,0.01473569543863229,15
mid_pre_response_minus_early_pre_response,participation_ratio,-0.061555775535379276,15
late_pre_response_minus_early_pre_response,pc1_explained,0.0034598771060655453,16
late_pre_response_minus_early_pre_response,participation_ratio,-0.015721212179403032,16
late_pre_response_minus_mid_pre_response,pc1_explained,0.019728087626793567,16
late_pre_response_minus_mid_pre_response,participation_ratio,-0.0831512136070347,16
mid_pre_response_minus_early_pre_response,pc1_explained,-0.01626821052072802,16
mid_pre_response_minus_early_pre_response,participation_ratio,0.06743000142763167,16
late_pre_response_minus_early_pre_response,pc1_explained,0.004647245249844167,17
late_pre_response_minus_early_pre_response,participation_ratio,-0.04441700200591292,17
late_pre_response_minus_mid_pre_response,pc1_explained,0.013993542819819238,17
late_pre_response_minus_mid_pre_response,participation_ratio,-0.0796395324441721,17
mid_pre_response_minus_early_pre_response,pc1_explained,-0.00934629756997507,17
mid_pre_response_minus_early_pre_response,participation_ratio,0.03522253043825918,17
late_pre_response_minus_early_pre_response,pc1_explained,-0.008875914069817248,18
late_pre_response_minus_early_pre_response,participation_ratio,0.06162609684037834,18
late_pre_response_minus_mid_pre_response,pc1_explained,-0.0008486126729512211,18
late_pre_response_minus_mid_pre_response,participation_ratio,0.018875466065225943,18
mid_pre_response_minus_early_pre_response,pc1_explained,-0.008027301396866027,18
mid_pre_response_minus_early_pre_response,participation_ratio,0.0427506307751524,18
late_pre_response_minus_early_pre_response,pc1_explained,-0.05582476760847155,19
late_pre_response_minus_early_pre_response,participation_ratio,0.25668628414611616,19
late_pre_response_minus_mid_pre_response,pc1_explained,-0.03298200031979304,19
late_pre_response_minus_mid_pre_response,participation_ratio,0.13237848619535608,19
mid_pre_response_minus_early_pre_response,pc1_explained,-0.02284276728867851,19
mid_pre_response_minus_early_pre_response,participation_ratio,0.12430779795076008,19
late_pre_response_minus_early_pre_response,pc1_explained,0.014215629980129596,20
late_pre_response_minus_early_pre_response,participation_ratio,-0.0803716920755222,20
late_pre_response_minus_mid_pre_response,pc1_explained,-0.010332194890106061,20
late_pre_response_minus_mid_pre_response,participation_ratio,0.021991591730962767,20
mid_pre_response_minus_early_pre_response,pc1_explained,0.024547824870235657,20
mid_pre_response_minus_early_pre_response,participation_ratio,-0.10236328380648496,20
late_pre_response_minus_early_pre_response,pc1_explained,0.01153257952547826,21
late_pre_response_minus_early_pre_response,participation_ratio,-0.05001756129352186,21
late_pre_response_minus_mid_pre_response,pc1_explained,0.028826980827923898,21
late_pre_response_minus_mid_pre_response,participation_ratio,-0.14154845949824413,21
mid_pre_response_minus_early_pre_response,pc1_explained,-0.01729440130244564,21
mid_pre_response_minus_early_pre_response,participation_ratio,0.09153089820472227,21
late_pre_response_minus_early_pre_response,pc1_explained,-0.002734180571569822,22
late_pre_response_minus_early_pre_response,participation_ratio,-0.013796214317226774,22
late_pre_response_minus_mid_pre_response,pc1_explained,-0.0383148398638159,22
late_pre_response_minus_mid_pre_response,participation_ratio,0.16677484404617715,22
mid_pre_response_minus_early_pre_response,pc1_explained,0.035580659292246075,22
mid_pre_response_minus_early_pre_response,participation_ratio,-0.18057105836340392,22
late_pre_response_minus_early_pre_response,pc1_explained,0.01310772840535157,23
late_pre_response_minus_early_pre_response,participation_ratio,-0.053736349842608,23
late_pre_response_minus_mid_pre_response,pc1_explained,-0.006095355873627528,23
late_pre_response_minus_mid_pre_response,participation_ratio,0.048000685303118296,23
mid_pre_response_minus_early_pre_response,pc1_explained,0.0192030842789791,23
mid_pre_response_minus_early_pre_response,participation_ratio,-0.1017370351457263,23
late_pre_response_minus_early_pre_response,pc1_explained,0.011509505264169606,24
late_pre_response_minus_early_pre_response,participation_ratio,-0.04225375655887431,24
late_pre_response_minus_mid_pre_response,pc1_explained,-0.01168243860730167,24
late_pre_response_minus_mid_pre_response,participation_ratio,0.09894553806657669,24
mid_pre_response_minus_early_pre_response,pc1_explained,0.023191943871471277,24
mid_pre_response_minus_early_pre_response,participation_ratio,-0.141199294625451,24
late_pre_response_minus_early_pre_response,pc1_explained,0.001571070784120554,25
late_pre_response_minus_early_pre_response,participation_ratio,0.012480366612240612,25
late_pre_response_minus_mid_pre_response,pc1_explained,-0.011409741321916411,25
late_pre_response_minus_mid_pre_response,participation_ratio,0.07490673578586504,25
mid_pre_response_minus_early_pre_response,pc1_explained,0.012980812106036965,25
mid_pre_response_minus_early_pre_response,participation_ratio,-0.06242636917362443,25
late_pre_response_minus_early_pre_response,pc1_explained,-0.023757667731089893,26
late_pre_response_minus_early_pre_response,participation_ratio,0.12335988887297056,26
late_pre_response_minus_mid_pre_response,pc1_explained,-0.016249843794241103,26
late_pre_response_minus_mid_pre_response,participation_ratio,0.07012398200948944,26
mid_pre_response_minus_early_pre_response,pc1_explained,-0.00750782393684879,26
mid_pre_response_minus_early_pre_response,participation_ratio,0.05323590686348112,26
late_pre_response_minus_early_pre_response,pc1_explained,-0.01333186663471797,27
late_pre_response_minus_early_pre_response,participation_ratio,0.05857929524358685,27
late_pre_response_minus_mid_pre_response,pc1_explained,0.012743527800112231,27
late_pre_response_minus_mid_pre_response,participation_ratio,-0.035445501678761815,27
mid_pre_response_minus_early_pre_response,pc1_explained,-0.0260753944348302,27
mid_pre_response_minus_early_pre_response,participation_ratio,0.09402479692234866,27
late_pre_response_minus_early_pre_response,pc1_explained,-0.005183512088015041,28
late_pre_response_minus_early_pre_response,participation_ratio,0.02088358940769508,28
late_pre_response_minus_mid_pre_response,pc1_explained,-0.003194723087900586,28
late_pre_response_minus_mid_pre_response,participation_ratio,0.04091944498950184,28
mid_pre_response_minus_early_pre_response,pc1_explained,-0.001988789000114455,28
mid_pre_response_minus_early_pre_response,participation_ratio,-0.02003585558180676,28
late_pre_response_minus_early_pre_response,pc1_explained,0.0038537843823249762,29
late_pre_response_minus_early_pre_response,participation_ratio,-0.012936681308174602,29
late_pre_response_minus_mid_pre_response,pc1_explained,0.001399252299380982,29
late_pre_response_minus_mid_pre_response,participation_ratio,0.007364699076459313,29
mid_pre_response_minus_early_pre_response,pc1_explained,0.0024545320829439943,29
mid_pre_response_minus_early_pre_response,participation_ratio,-0.020301380384633916,29
late_pre_response_minus_early_pre_response,pc1_explained,0.002540864488518979,30
late_pre_response_minus_early_pre_response,participation_ratio,0.0013819922451139277,30
late_pre_response_minus_mid_pre_response,pc1_explained,0.0011925608647734842,30
late_pre_response_minus_mid_pre_response,participation_ratio,-0.03344803711753119,30
mid_pre_response_minus_early_pre_response,pc1_explained,0.0013483036237454948,30
mid_pre_response_minus_early_pre_response,participation_ratio,0.03483002936264512,30
late_pre_response_minus_early_pre_response,pc1_explained,-0.013902863215207728,31
late_pre_response_minus_early_pre_response,participation_ratio,0.09779105125975596,31
late_pre_response_minus_mid_pre_response,pc1_explained,0.00039184227318289633,31
late_pre_response_minus_mid_pre_response,participation_ratio,0.014959620088989656,31
mid_pre_response_minus_early_pre_response,pc1_explained,-0.014294705488390624,31
mid_pre_response_minus_early_pre_response,participation_ratio,0.0828314311707663,31
late_pre_response_minus_early_pre_response,pc1_explained,0.018027402500378598,32
late_pre_response_minus_early_pre_response,participation_ratio,-0.09360955264048121,32
late_pre_response_minus_mid_pre_response,pc1_explained,0.021492454513150294,32
late_pre_response_minus_mid_pre_response,participation_ratio,-0.10366007813876577,32
mid_pre_response_minus_early_pre_response,pc1_explained,-0.0034650520127716966,32
mid_pre_response_minus_early_pre_response,participation_ratio,0.010050525498284557,32
late_pre_response_minus_early_pre_response,pc1_explained,-0.021149004079417222,33
late_pre_response_minus_early_pre_response,participation_ratio,0.11580127969421339,33
late_pre_response_minus_mid_pre_response,pc1_explained,0.009425236109403046,33
late_pre_response_minus_mid_pre_response,participation_ratio,-0.039236095009075544,33
mid_pre_response_minus_early_pre_response,pc1_explained,-0.030574240188820268,33
mid_pre_response_minus_early_pre_response,participation_ratio,0.15503737470328893,33
late_pre_response_minus_early_pre_response,pc1_explained,-0.015346220578744019,34
late_pre_response_minus_early_pre_response,participation_ratio,0.07948804927600994,34
late_pre_response_minus_mid_pre_response,pc1_explained,0.023870975085828805,34
late_pre_response_minus_mid_pre_response,participation_ratio,-0.11527677338209497,34
mid_pre_response_minus_early_pre_response,pc1_explained,-0.039217195664572824,34
mid_pre_response_minus_early_pre_response,participation_ratio,0.1947648226581049,34
late_pre_response_minus_early_pre_response,pc1_explained,0.01247881253737948,35
late_pre_response_minus_early_pre_response,participation_ratio,-0.06692788097524272,35
late_pre_response_minus_mid_pre_response,pc1_explained,-0.0023119230442710803,35
late_pre_response_minus_mid_pre_response,participation_ratio,-0.002117747534390979,35
mid_pre_response_minus_early_pre_response,pc1_explained,0.01479073558165056,35
mid_pre_response_minus_early_pre_response,participation_ratio,-0.06481013344085174,35
late_pre_response_minus_early_pre_response,pc1_explained,0.0185698082775293,36
late_pre_response_minus_early_pre_response,participation_ratio,-0.11741754791810033,36
late_pre_response_minus_mid_pre_response,pc1_explained,0.02188006469663628,36
late_pre_response_minus_mid_pre_response,participation_ratio,-0.12440920808261513,36
mid_pre_response_minus_early_pre_response,pc1_explained,-0.0033102564191069828,36
mid_pre_response_minus_early_pre_response,participation_ratio,0.006991660164514801,36
late_pre_response_minus_early_pre_response,pc1_explained,9.609164099577683e-05,37
late_pre_response_minus_early_pre_response,participation_ratio,0.010800203816961673,37
late_pre_response_minus_mid_pre_response,pc1_explained,-0.00613353486600865,37
late_pre_response_minus_mid_pre_response,participation_ratio,0.03607509403530962,37
mid_pre_response_minus_early_pre_response,pc1_explained,0.0062296265070044265,37
mid_pre_response_minus_early_pre_response,participation_ratio,-0.025274890218347945,37
late_pre_response_minus_early_pre_response,pc1_explained,0.012840117865339451,38
late_pre_response_minus_early_pre_response,participation_ratio,-0.047381477122965254,38
late_pre_response_minus_mid_pre_response,pc1_explained,0.02326636244690594,38
late_pre_response_minus_mid_pre_response,participation_ratio,-0.10127652889937666,38
mid_pre_response_minus_early_pre_response,pc1_explained,-0.01042624458156649,38
mid_pre_response_minus_early_pre_response,participation_ratio,0.05389505177641141,38
late_pre_response_minus_early_pre_response,pc1_explained,-0.009221172958217894,39
late_pre_response_minus_early_pre_response,participation_ratio,0.06539457271020988,39
late_pre_response_minus_mid_pre_response,pc1_explained,-0.008412660204872968,39
late_pre_response_minus_mid_pre_response,participation_ratio,0.048693929207775266,39
mid_pre_response_minus_early_pre_response,pc1_explained,-0.0008085127533449254,39
mid_pre_response_minus_early_pre_response,participation_ratio,0.01670064350243461,39
late_pre_response_minus_early_pre_response,pc1_explained,-0.00042630448821001643,40
late_pre_response_minus_early_pre_response,participation_ratio,0.014507960403023379,40
late_pre_response_minus_mid_pre_response,pc1_explained,0.025621799395367906,40
late_pre_response_minus_mid_pre_response,participation_ratio,-0.12837053142793486,40
mid_pre_response_minus_early_pre_response,pc1_explained,-0.026048103883577922,40
mid_pre_response_minus_early_pre_response,participation_ratio,0.14287849183095824,40
late_pre_response_minus_early_pre_response,pc1_explained,-0.0056992314271134825,41
late_pre_response_minus_early_pre_response,participation_ratio,0.022123327852488384,41
late_pre_response_minus_mid_pre_response,pc1_explained,0.014539286946739005,41
late_pre_response_minus_mid_pre_response,participation_ratio,-0.10556759602862975,41
mid_pre_response_minus_early_pre_response,pc1_explained,-0.020238518373852488,41
mid_pre_response_minus_early_pre_response,participation_ratio,0.12769092388111813,41
late_pre_response_minus_early_pre_response,pc1_explained,-0.0028519544166810684,42
late_pre_response_minus_early_pre_response,participation_ratio,0.0020270283562635605,42
late_pre_response_minus_mid_pre_response,pc1_explained,-0.005935678516405973,42
late_pre_response_minus_mid_pre_response,participation_ratio,0.014496280499036285,42
mid_pre_response_minus_early_pre_response,pc1_explained,0.003083724099724905,42
mid_pre_response_minus_early_pre_response,participation_ratio,-0.012469252142772724,42
late_pre_response_minus_early_pre_response,pc1_explained,0.018190146709694655,43
late_pre_response_minus_early_pre_response,participation_ratio,-0.08373213780057531,43
late_pre_response_minus_mid_pre_response,pc1_explained,0.004871284391851027,43
late_pre_response_minus_mid_pre_response,participation_ratio,-0.04009118771244902,43
mid_pre_response_minus_early_pre_response,pc1_explained,0.013318862317843627,43
mid_pre_response_minus_early_pre_response,participation_ratio,-0.043640950088126296,43
late_pre_response_minus_early_pre_response,pc1_explained,-0.014802328575684198,44
late_pre_response_minus_early_pre_response,participation_ratio,0.07498630917484483,44
late_pre_response_minus_mid_pre_response,pc1_explained,-0.005230072630180271,44
late_pre_response_minus_mid_pre_response,participation_ratio,0.030276405145666985,44
mid_pre_response_minus_early_pre_response,pc1_explained,-0.009572255945503927,44
mid_pre_response_minus_early_pre_response,participation_ratio,0.04470990402917785,44
late_pre_response_minus_early_pre_response,pc1_explained,-0.0036479936754598707,45
late_pre_response_minus_early_pre_response,participation_ratio,0.022896829662448326,45
late_pre_response_minus_mid_pre_response,pc1_explained,-0.022590833738244,45
late_pre_response_minus_mid_pre_response,participation_ratio,0.10825322960388917,45
mid_pre_response_minus_early_pre_response,pc1_explained,0.018942840062784128,45
mid_pre_response_minus_early_pre_response,participation_ratio,-0.08535639994144084,45
late_pre_response_minus_early_pre_response,pc1_explained,-0.01229540919502825,46
late_pre_response_minus_early_pre_response,participation_ratio,0.05318499672573562,46
late_pre_response_minus_mid_pre_response,pc1_explained,-0.006027777437919379,46
late_pre_response_minus_mid_pre_response,participation_ratio,0.03802664662749944,46
mid_pre_response_minus_early_pre_response,pc1_explained,-0.006267631757108871,46
mid_pre_response_minus_early_pre_response,participation_ratio,0.015158350098236184,46
late_pre_response_minus_early_pre_response,pc1_explained,0.006463171319418426,47
late_pre_response_minus_early_pre_response,participation_ratio,-0.018973428993355856,47
late_pre_response_minus_mid_pre_response,pc1_explained,0.0029106322984978616,47
late_pre_response_minus_mid_pre_response,participation_ratio,-0.031982818363400334,47
mid_pre_response_minus_early_pre_response,pc1_explained,0.0035525390209205643,47
mid_pre_response_minus_early_pre_response,participation_ratio,0.013009389370044477,47
late_pre_response_minus_early_pre_response,pc1_explained,-0.0055880654651078165,48
late_pre_response_minus_early_pre_response,participation_ratio,0.01215316459530058,48
late_pre_response_minus_mid_pre_response,pc1_explained,-0.004375840626202998,48
late_pre_response_minus_mid_pre_response,participation_ratio,0.012158901789889764,48
mid_pre_response_minus_early_pre_response,pc1_explained,-0.0012122248389048185,48
mid_pre_response_minus_early_pre_response,participation_ratio,-5.737194589183758e-06,48
late_pre_response_minus_early_pre_response,pc1_explained,-0.017427448379250476,49
late_pre_response_minus_early_pre_response,participation_ratio,0.09884737834089163,49
late_pre_response_minus_mid_pre_response,pc1_explained,-0.003528266684936776,49
late_pre_response_minus_mid_pre_response,participation_ratio,0.036484401206365646,49
mid_pre_response_minus_early_pre_response,pc1_explained,-0.0138991816943137,49
mid_pre_response_minus_early_pre_response,participation_ratio,0.06236297713452599,49
late_pre_response_minus_early_pre_response,pc1_explained,-0.004556230460620259,50
late_pre_response_minus_early_pre_response,participation_ratio,0.029633237634083542,50
late_pre_response_minus_mid_pre_response,pc1_explained,0.012364613531222202,50
late_pre_response_minus_mid_pre_response,participation_ratio,-0.08381390371661146,50
mid_pre_response_minus_early_pre_response,pc1_explained,-0.01692084399184246,50
mid_pre_response_minus_early_pre_response,participation_ratio,0.113447141350695,50
late_pre_response_minus_early_pre_response,pc1_explained,-0.0034365493841462813,51
late_pre_response_minus_early_pre_response,participation_ratio,0.026637686951082262,51
late_pre_response_minus_mid_pre_response,pc1_explained,-0.009326634326022432,51
late_pre_response_minus_mid_pre_response,participation_ratio,0.04358596235594403,51
mid_pre_response_minus_early_pre_response,pc1_explained,0.00589008494187615,51
mid_pre_response_minus_early_pre_response,participation_ratio,-0.016948275404861768,51
late_pre_response_minus_early_pre_response,pc1_explained,0.018013062551305192,52
late_pre_response_minus_early_pre_response,participation_ratio,-0.10596502848143663,52
late_pre_response_minus_mid_pre_response,pc1_explained,-0.006481668473628188,52
late_pre_response_minus_mid_pre_response,participation_ratio,0.015855873018829403,52
mid_pre_response_minus_early_pre_response,pc1_explained,0.02449473102493338,52
mid_pre_response_minus_early_pre_response,participation_ratio,-0.12182090150026603,52
late_pre_response_minus_early_pre_response,pc1_explained,-0.005532566940186778,53
late_pre_response_minus_early_pre_response,participation_ratio,-0.015634641090148893,53
late_pre_response_minus_mid_pre_response,pc1_explained,-0.016975498041590042,53
late_pre_response_minus_mid_pre_response,participation_ratio,0.05546697298159575,53
mid_pre_response_minus_early_pre_response,pc1_explained,0.011442931101403264,53
mid_pre_response_minus_early_pre_response,participation_ratio,-0.07110161407174465,53
late_pre_response_minus_early_pre_response,pc1_explained,-0.025784265105207482,54
late_pre_response_minus_early_pre_response,participation_ratio,0.11644414826176153,54
late_pre_response_minus_mid_pre_response,pc1_explained,-0.029045561774643347,54
late_pre_response_minus_mid_pre_response,participation_ratio,0.1376847996649717,54
mid_pre_response_minus_early_pre_response,pc1_explained,0.0032612966694358647,54
mid_pre_response_minus_early_pre_response,participation_ratio,-0.021240651403210187,54
late_pre_response_minus_early_pre_response,pc1_explained,-0.02685166845185527,55
late_pre_response_minus_early_pre_response,participation_ratio,0.14295869915332915,55
late_pre_response_minus_mid_pre_response,pc1_explained,0.015431158318435112,55
late_pre_response_minus_mid_pre_response,participation_ratio,-0.07477339846892583,55
mid_pre_response_minus_early_pre_response,pc1_explained,-0.04228282677029038,55
mid_pre_response_minus_early_pre_response,participation_ratio,0.21773209762225498,55
late_pre_response_minus_early_pre_response,pc1_explained,0.0020655296873530737,56
late_pre_response_minus_early_pre_response,participation_ratio,0.006205752091755556,56
late_pre_response_minus_mid_pre_response,pc1_explained,0.0193979650983771,56
late_pre_response_minus_mid_pre_response,participation_ratio,-0.078637550428442,56
mid_pre_response_minus_early_pre_response,pc1_explained,-0.017332435411024028,56
mid_pre_response_minus_early_pre_response,participation_ratio,0.08484330252019756,56
late_pre_response_minus_early_pre_response,pc1_explained,-0.010559595940152322,57
late_pre_response_minus_early_pre_response,participation_ratio,0.040292896465239814,57
late_pre_response_minus_mid_pre_response,pc1_explained,-0.014811354717460423,57
late_pre_response_minus_mid_pre_response,participation_ratio,0.05508261802715042,57
mid_pre_response_minus_early_pre_response,pc1_explained,0.004251758777308101,57
mid_pre_response_minus_early_pre_response,participation_ratio,-0.014789721561910607,57
late_pre_response_minus_early_pre_response,pc1_explained,0.011567723147997144,58
late_pre_response_minus_early_pre_response,participation_ratio,-0.056472032848867926,58
late_pre_response_minus_mid_pre_response,pc1_explained,0.040292640434350435,58
late_pre_response_minus_mid_pre_response,participation_ratio,-0.18560221393322518,58
mid_pre_response_minus_early_pre_response,pc1_explained,-0.02872491728635329,58
mid_pre_response_minus_early_pre_response,participation_ratio,0.12913018108435725,58
late_pre_response_minus_early_pre_response,pc1_explained,-0.008242912423356619,59
late_pre_response_minus_early_pre_response,participation_ratio,0.055766713349085784,59
late_pre_response_minus_mid_pre_response,pc1_explained,-0.010834978949210816,59
late_pre_response_minus_mid_pre_response,participation_ratio,0.06022632351483459,59
mid_pre_response_minus_early_pre_response,pc1_explained,0.0025920665258541975,59
mid_pre_response_minus_early_pre_response,participation_ratio,-0.004459610165748806,59
late_pre_response_minus_early_pre_response,pc1_explained,-0.004743935116862774,60
late_pre_response_minus_early_pre_response,participation_ratio,0.027525314146390034,60
late_pre_response_minus_mid_pre_response,pc1_explained,0.001715836052264108,60
late_pre_response_minus_mid_pre_response,participation_ratio,0.0038678724938785436,60
mid_pre_response_minus_early_pre_response,pc1_explained,-0.006459771169126882,60
mid_pre_response_minus_early_pre_response,participation_ratio,0.02365744165251149,60
late_pre_response_minus_early_pre_response,pc1_explained,0.006443623762699469,61
late_pre_response_minus_early_pre_response,participation_ratio,-0.01049499749118521,61
late_pre_response_minus_mid_pre_response,pc1_explained,-0.007158854178815122,61
late_pre_response_minus_mid_pre_response,participation_ratio,0.04920864748632514,61
mid_pre_response_minus_early_pre_response,pc1_explained,0.01360247794151459,61
mid_pre_response_minus_early_pre_response,participation_ratio,-0.05970364497751035,61
late_pre_response_minus_early_pre_response,pc1_explained,-0.0035550908728845254,62
late_pre_response_minus_early_pre_response,participation_ratio,0.03129518795653752,62
late_pre_response_minus_mid_pre_response,pc1_explained,0.0024376641130881005,62
late_pre_response_minus_mid_pre_response,participation_ratio,0.005400787789606287,62
mid_pre_response_minus_early_pre_response,pc1_explained,-0.005992754985972626,62
mid_pre_response_minus_early_pre_response,participation_ratio,0.02589440016693123,62
late_pre_response_minus_early_pre_response,pc1_explained,0.00795718571424009,63
late_pre_response_minus_early_pre_response,participation_ratio,-0.03747094726424116,63
late_pre_response_minus_mid_pre_response,pc1_explained,-0.006614629354276924,63
late_pre_response_minus_mid_pre_response,participation_ratio,0.05173722253628421,63
mid_pre_response_minus_early_pre_response,pc1_explained,0.014571815068517013,63
mid_pre_response_minus_early_pre_response,participation_ratio,-0.08920816980052537,63
late_pre_response_minus_early_pre_response,pc1_explained,-0.011750728406631827,64
