time_index,time_ms,pc1_explained,pc2_explained,pc1_pc2_cumulative,n_pc_80,n_pc_90,participation_ratio
0,-1000.0,0.5037022993343732,0.2648144200990988,0.7685167194334719,3,3,2.828666463155333
1,-996.0911865234375,0.4747061434396411,0.2529275596283073,0.7276337030679485,3,3,3.0324698528422536
2,-992.1824340820312,0.47897880275929045,0.24477591967484513,0.7237547224341356,3,3,3.047096749142947
3,-988.2736206054688,0.48446371121142434,0.24195804235917553,0.7264217535705999,3,3,3.04538620224551
4,-984.3648071289062,0.48938820307838804,0.23557538936228253,0.7249635924406705,3,3,3.0464806706031826
5,-980.4560546875,0.49502679399921706,0.22692720039114045,0.7219539943903575,3,4,3.0357704374044707
6,-976.5472412109375,0.4981012943604188,0.22294843182158466,0.7210497261820035,3,4,3.0303795791119352
7,-972.638427734375,0.49546105369248966,0.23037460887600436,0.7258356625684941,3,4,3.043356315426971
8,-968.7296142578125,0.48560854094430267,0.24710231706236105,0.7327108580066637,3,4,3.086730221174964
9,-964.8208618164062,0.46929308240327267,0.2676000240515416,0.7368931064548143,3,4,3.161306593382969
10,-960.9120483398438,0.4523547322130409,0.28649316125904845,0.7388478934720893,3,4,3.2344581995307244
11,-957.0032348632812,0.4394770689099428,0.2977919739239795,0.7372690428339224,3,4,3.299635490384322
12,-953.094482421875,0.4346689520548703,0.30206548555192847,0.7367344376067988,3,4,3.32776693725519
13,-949.1856689453125,0.43785281273599647,0.30298023559030396,0.7408330483263004,3,4,3.3037994680114404
14,-945.27685546875,0.44862977185886427,0.29801952780915353,0.7466492996680179,3,4,3.240960303597342
15,-941.3681030273438,0.46340576953693563,0.2882566150315671,0.7516623845685027,3,4,3.1622265160432836
16,-937.4592895507812,0.47665225651386967,0.2785266902467489,0.7551789467606186,3,4,3.0916771460332964
17,-933.5504760742188,0.4842963291220629,0.2717471320418773,0.7560434611639402,3,4,3.0546240476933884
18,-929.6417236328125,0.48319305438225296,0.27147500443815376,0.7546680588204067,3,4,3.061500105139099
19,-925.73291015625,0.4765015438428147,0.2761137387945369,0.7526152826373516,3,4,3.0944719607615023
20,-921.8240966796875,0.4723016919298215,0.2773533262060326,0.7496550181358541,3,4,3.1235932718942347
21,-917.915283203125,0.47547984913327485,0.2702623435171787,0.7457421926504535,3,4,3.1255847889081236
22,-914.0065307617188,0.48046542507595236,0.2651932037368171,0.7456586288127695,3,4,3.1040720142203955
23,-910.0977172851562,0.4791904159732296,0.27317188302862466,0.7523622990018543,3,4,3.088270082238863
24,-906.1889038085938,0.46927798876003024,0.2896796539812104,0.7589576427412407,3,4,3.1035997997156035
25,-902.2801513671875,0.4550459336903794,0.3087704397804386,0.763816373470818,3,4,3.1314906247623684
26,-898.371337890625,0.4446669882676279,0.32366765172362477,0.7683346399912527,3,4,3.137468060708427
27,-894.4625244140625,0.44616498751306916,0.324828646697975,0.7709936342110442,3,4,3.1188928730289454
