fold,test_subject_ids,positive_label_name,positive_waveform_correlation,positive_peak_amplitude_real_uv,positive_peak_amplitude_generated_uv,positive_peak_amplitude_error_uv,positive_peak_latency_real_seconds,positive_peak_latency_generated_seconds,positive_peak_latency_error_seconds,positive_baseline_mean_real_uv,positive_baseline_mean_generated_uv,positive_baseline_mean_abs_error_uv,positive_distribution_distance,positive_real_trial_count,positive_generated_trial_count,negative_label_name,negative_waveform_correlation,negative_peak_amplitude_real_uv,negative_peak_amplitude_generated_uv,negative_peak_amplitude_error_uv,negative_peak_latency_real_seconds,negative_peak_latency_generated_seconds,negative_peak_latency_error_seconds,negative_baseline_mean_real_uv,negative_baseline_mean_generated_uv,negative_baseline_mean_abs_error_uv,negative_distribution_distance,negative_real_trial_count,negative_generated_trial_count,waveform_correlation_mean,peak_amplitude_error_mean_uv,peak_latency_error_mean_seconds,baseline_mean_abs_error_mean_uv,distribution_distance_mean
1,"sub-1117,sub-1131",positive,-0.3324368854222942,1.790913415788964e-06,-0.0009870510548353195,0.0009888419682511085,-0.019607843137254943,0.027450980392156876,0.04705882352941182,4.21634327452125e-09,0.0003310547908768058,0.00033105057453353126,564.0346498883661,187,8,negative,0.20142852566324346,-3.905945959559176e-06,-0.000166301557328552,0.00016239561136899283,-0.03529411764705881,0.04313725490196074,0.07843137254901955,4.859390667633079e-10,0.0004784928751178086,0.0004784923891787418,784.1535050686023,115,8,-0.06550417987952538,0.0005756187898100507,0.06274509803921569,0.00040477148185613654,674.0940774784842
2,"sub-1118,sub-1132",positive,-0.3520552878603744,5.157260602572933e-06,-0.001025308622047305,0.001030465882649878,-0.027450980392156876,0.019607843137254943,0.04705882352941182,3.7473814273880635e-08,0.0010657365201041102,0.0010656990462898364,506.11034207579155,95,8,negative,0.2914400988501077,-5.497719939739909e-06,0.00028746912721544504,0.00029296684715518495,-0.027450980392156876,0.04313725490196074,0.07058823529411762,-2.7625306486811496e-09,0.0010732270311564207,0.0010732297936870694,664.6135920139141,149,8,-0.030307594505133345,0.0006617163649025315,0.05882352941176472,0.0010694644199884529,585.3619670448528
3,"sub-1120,sub-1135",positive,-0.19440728853754105,1.945682924997527e-06,-0.0009900975273922086,0.000992043210317206,-0.04313725490196074,-0.019607843137254943,0.0235294117647058,9.910189113782053e-09,0.0005874829366803169,0.0005874730264912031,507.13915430285095,117,8,negative,0.2593443270203315,-3.3660342069197213e-06,0.0008942632703110576,0.0008976293045179773,-0.019607843137254943,0.027450980392156876,0.04705882352941182,3.487262922874379e-09,0.0020256394054740667,0.002025635918211144,685.4415798980419,105,8,0.032468519241395224,0.0009448362574175917,0.03529411764705881,0.0013065544723511735,596.2903671004465
4,"sub-1124,sub-1136",positive,-0.056068517705397954,2.8336896775726927e-06,-0.0008055481594055891,0.0008083818490831618,-0.04313725490196074,0.0039215686274509665,0.04705882352941171,8.315051758245318e-09,0.0017786306561902165,0.0017786223411384583,537.3428392946485,111,8,negative,0.2811710868905202,-3.2523546451557195e-06,-0.0009800062980502844,0.0009767539434051287,-0.019607843137254943,-0.04313725490196074,0.0235294117647058,1.0319266552372142e-09,0.0009247251437045634,0.0009247241117779081,655.8206373949455,127,8,0.11255128459256114,0.0008925678962441452,0.035294117647058754,0.0013516732264581832,596.581738344797
5,"sub-1126,sub-1151",positive,-0.35604608120537967,3.029620756933582e-06,-0.0006694197072647512,0.0006724493280216848,-0.04313725490196074,0.027450980392156876,0.07058823529411762,1.2723298858929866e-08,0.0014129846822470427,0.0014129719589481837,494.7468124688273,94,8,negative,0.2453591265543915,-3.6697617815661943e-06,0.0005049740429967642,0.0005086438047783304,0.03529411764705881,0.04313725490196074,0.007843137254901933,-2.2574881963777216e-09,0.0012500530574470758,0.0012500553149352722,954.3299664123218,111,8,-0.05534347732549409,0.0005905465664000076,0.039215686274509776,0.001331513636941728,724.5383894405745
